OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
48,803,29.9011993,23.8691006,435.0000000,1.0000000,1.5000000,6.0000000,19.1379299,1.0000000,76.3069611,1.0361080,226.0325012,35.7918358,35.7918358,143.1157379,205.5207672,19103146.0000000,823.6166992,471.5751648,71.0000000,900.5926514,1360.1445312,22962.0000000,45.0000000,148.0000000,41.0955124,23.3776875,1.9922333,8521.9082031,352.3975220,110.6041794,2.8514609,1.1596287,298.6494446,632.3508911,351007264.0000000,2491.5270996,435.6413574,387.0000000,6294.0234375,9048.7539062,157865.0000000,236.0000000,766.0000000,107.7849960,50.8713264,2.3611035,179866.6406250,1688.0583496,480.1793823,359.7846680,1.2607077,375.2286682,934.7073364,817150016.0000000,2891.7263184,492.0100403,1091.0000000,31985.3886719,29999.7636719,296400.0000000,614.0000000,1980.0000000,176.1035461,73.5005951,2.9358056,1863480.5000000,5249.7646484,1025.7713623,23.1129608,1.1769146,442.3742371,1036.9038086,921233408.0000000,2598.4365234,484.6743164,1903.0000000,65738.9140625,62736.6210938,369266.0000000,1104.0000000,3533.0000000,353.8412781,185.2375031,2.6914983,3300609.2500000,6799.2744141,1378.9893799,119.3909607,1.1146054,509.5426941,1102.2396240,976876352.0000000,2336.0588379,466.0530090,2255.0000000,85299.7812500,86138.7187500,429322.0000000,1254.0000000,4008.0000000,508.8959351,267.3761292,2.5794234,4131939.2500000,7446.7968750,1518.1562500,117.8710022,1.0680097,722.5138550,1255.0262451,1173314432.0000000,1912.9732666,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,888.6678467,394.3840637,2.5794244,5539375.0000000,8738.8583984,2046.7081299,163.8535004,1.0970812,803,,,none,,,,,1.0000000,0.5000000,,17.707309668208776
50,805,29.9011993,23.8691006,287.0000000,1.0000000,1.5000000,6.0000000,19.6819172,0.9999999,103.8386078,1.0655589,226.0325012,46.3201981,46.3201981,150.1465607,143.0146484,6879581.5000000,402.8677673,251.4674835,52.0000000,603.0957642,768.4656982,18072.0000000,31.0000000,105.0000000,38.5009232,21.0344963,2.1554134,6552.5341797,309.2721252,88.9488297,13.3809166,1.1616155,306.6341248,487.3028564,122428936.0000000,1272.1569824,231.1993103,317.0000000,4762.5932617,6702.6582031,129415.0000000,188.0000000,607.0000000,101.0251160,49.2782898,2.1948972,118458.9140625,1377.8165283,335.7008057,341.5227966,1.2752789,400.0643616,832.8621216,511525888.0000000,1998.4947510,318.3719788,1018.0000000,27172.1660156,26105.4941406,291905.0000000,579.0000000,1870.0000000,168.4801025,67.1158600,3.0386186,1463788.8750000,4697.8740234,901.6361084,139.1156311,1.1998154,464.6641235,930.9077148,638488256.0000000,1963.8763428,312.2639465,1804.0000000,62619.3242188,58698.2460938,363117.0000000,1053.0000000,3371.0000000,340.0981140,176.5933380,2.7757924,3256166.2500000,6753.7451172,1380.7431641,119.4052582,1.1147382,521.4968262,987.8512573,667315392.0000000,1690.6219482,292.8688354,2228.0000000,84108.0312500,84943.6875000,415171.0000000,1244.0000000,3977.0000000,476.6248779,249.8098907,2.6630726,4120134.7500000,7429.3354492,1519.9005127,117.8857346,1.0660527,750.7420044,1151.0476074,733023424.0000000,1195.1221924,287.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,888.9520874,393.9485779,2.6205118,5539375.0000000,8738.8583984,2048.2014160,163.8259583,1.0970812,805,,,none,,,,,1.0000000,0.5000000,,18.254310657220707
62,825,23.8691006,23.8691006,435.0000000,0.0000000,1.7500000,5.0000000,6.0603881,1.0000000,0.0009211,1.0000000,39.2861481,2.6518228,2.6518228,128.0962524,1555.1072998,274820160.0000000,7900.7314453,579.9822998,144.0000000,2126.7856445,2774.4284668,52281.0000000,96.0000000,314.0000000,51.6190186,36.5532608,1.3848394,38723.8085938,815.7580566,264.5612488,346.5976868,1.3675236,267.6862793,2306.4831543,2704406528.0000000,16562.5507812,914.4039917,777.0000000,18437.8847656,19038.4179688,270912.0000000,468.0000000,1510.0000000,139.2547913,61.1029968,2.8943703,955318.6875000,3776.4670410,774.7787476,23.2110653,1.1879913,308.4378662,2416.8713379,4700016640.0000000,16928.5117188,576.8429565,1493.0000000,50786.7656250,46559.3828125,325970.0000000,886.0000000,2842.0000000,237.0403900,123.2328262,2.7630539,2570717.5000000,6073.6591797,1225.8887939,154.4481964,1.1419225,368.4994202,2512.6433105,5825702912.0000000,16783.6640625,540.1241455,2143.0000000,79646.4453125,78701.0468750,390058.0000000,1207.0000000,3855.0000000,396.4487610,217.8011017,2.5921776,3764963.2500000,7090.8066406,1437.4312744,114.5571976,1.0627245,456.8953247,2599.4594727,6845867008.0000000,16546.7636719,538.1881714,2336.0000000,92138.9609375,93270.6015625,467894.0000000,1290.0000000,4134.0000000,574.1735840,304.2116089,2.4931717,4591215.5000000,7800.4394531,1612.9078369,90.2398911,1.0546311,623.0602417,2726.4240723,9742247936.0000000,15883.7714844,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,871.6199341,394.0517883,2.5393116,5539375.0000000,8738.8583984,2052.3129883,163.3859863,1.0970812,825,,,none,,,,,1.0000000,0.7500000,,6.060388210164637
76,845,23.8691006,23.8691006,435.0000000,0.0000000,1.5000000,5.0000000,28.3815117,0.9999999,51.3588409,1.0233637,337.9542542,29.9026337,29.9026337,142.4069519,478.4024048,47173968.0000000,1505.7236328,697.8414307,156.0000000,2961.7934570,2676.5544434,51603.0000000,110.0000000,363.0000000,79.4930496,47.4505501,1.6763334,124557.2812500,1384.0050049,288.6401978,71.2555466,1.2237602,276.4631042,1167.6644287,1237435904.0000000,9185.1630859,1014.7346802,973.0000000,27428.1562500,25616.6484375,259885.0000000,571.0000000,1844.0000000,147.5674744,68.2134476,2.4024725,1616851.0000000,5025.8583984,983.5333862,25.9089966,1.2431989,339.8668518,1378.1116943,6937852416.0000000,26248.6250000,725.1065674,1818.0000000,63339.9179688,59638.6835938,363366.0000000,1061.0000000,3395.0000000,306.5082397,173.6721039,2.3274472,3256166.2500000,6753.7451172,1431.8581543,120.9062805,1.1147382,388.8115234,1454.1291504,15951148032.0000000,46543.2304688,657.8254395,2231.0000000,84148.3906250,84980.0234375,417511.0000000,1247.0000000,3987.0000000,437.3811951,248.1981812,2.2539961,4120134.7500000,7429.3354492,1569.9973145,119.3032074,1.0660527,476.4669189,1548.6436768,26953175040.0000000,65088.1289062,624.8342285,2412.0000000,94177.2578125,94584.4765625,502729.0000000,1328.0000000,4269.0000000,613.7882690,323.2321167,2.2336838,4596215.0000000,7802.7109375,1623.9346924,94.1447601,1.0540977,592.8970337,1648.2794189,60229664768.0000000,98198.5156250,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,821.8553467,394.2849426,2.2745824,5539375.0000000,8738.8583984,2110.6269531,163.5903015,1.0970812,845,,,none,,,,,1.0000000,0.5000000,,28.381512687036217
95,2540,23.8691006,23.8691006,435.0000000,0.0000000,1.7500000,3.0000000,9.0151386,1.0000000,0.0000000,1.0000000,39.2867241,3.9441233,3.9441233,129.0419617,1131.0709229,20656410.0000000,483.0232544,536.3274536,130.0000000,1841.9873047,2576.2448730,47776.0000000,87.0000000,284.0000000,63.6925850,46.7830925,1.3439730,25756.2382812,640.2071533,209.7906952,16.8812981,1.2663354,273.2475891,1877.7597656,116277024.0000000,666.0178833,897.9786987,743.0000000,16898.8242188,17624.3417969,267592.0000000,451.0000000,1454.0000000,153.8010101,71.5658875,2.6939163,759975.9375000,3450.4506836,790.3897095,23.5372124,1.2466426,310.7161865,1985.7705078,139307440.0000000,496.0929565,557.9730225,1453.0000000,49682.5351562,45809.3984375,320536.0000000,861.0000000,2758.0000000,241.3050690,126.1002045,2.6149302,2507262.5000000,6018.4414062,1219.0737305,153.7571869,1.1496308,374.6453247,2088.4057617,169153664.0000000,486.2039490,538.0562134,2135.0000000,79028.6796875,78132.3359375,389149.0000000,1199.0000000,3831.0000000,410.4892273,227.8472595,2.4537086,3748541.0000000,7067.5986328,1397.7050781,105.2107468,1.0604047,460.8782654,2172.9509277,202222800.0000000,483.2762451,532.0948486,2331.0000000,92082.3359375,93270.6015625,465170.0000000,1286.0000000,4118.0000000,584.1073608,312.3760986,2.3777726,4591215.5000000,7800.4394531,1623.1865234,89.7946243,1.0546311,630.1942139,2301.8403320,266679360.0000000,434.7943115,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,887.7243652,399.3818970,2.4692907,5539375.0000000,8738.8583984,2043.2530518,163.0088501,1.0970812,2540,,,none,,,,,1.0000000,0.7500000,,9.015139061814827
129,2648,23.8712997,23.8691006,435.0000000,0.0000000,1.5000000,5.0000000,4.8542614,1.0000000,0.0000000,1.0000000,119.9696045,1.8203480,1.8207604,137.7226562,1333.2780762,316881856.0000000,5376.5996094,576.1474609,119.0000000,1405.8444824,2248.2163086,70990.0000000,75.0000000,247.0000000,46.0690498,25.9765682,2.0469103,15282.4589844,507.7321167,170.0813141,19.2681541,1.3423513,252.0446320,1935.9781494,3921788160.0000000,20702.8750000,714.1651001,564.0000000,10932.4843750,13533.3085938,245661.0000000,334.0000000,1073.0000000,107.1125336,47.8413086,2.7347825,459829.8125000,2817.9892578,620.6262817,333.0566406,1.3742688,292.0270996,2056.7380371,11171217408.0000000,40082.8906250,505.2726746,1223.0000000,40201.5625000,36147.4335938,301496.0000000,707.0000000,2274.0000000,164.9995270,76.0517426,2.7540772,2182754.7500000,5588.4125977,1091.0296631,123.0311966,1.1385763,371.0363464,2168.1293945,19357593600.0000000,56365.3242188,503.4840393,2039.0000000,73629.5781250,70993.5781250,377429.0000000,1158.0000000,3703.0000000,352.1817017,191.9607239,2.5383174,3535578.2500000,6875.9428711,1400.0900879,119.5121460,1.0641289,456.6776123,2245.8581543,30999117824.0000000,75024.0937500,498.0235291,2298.0000000,89696.4218750,90746.3125000,448181.0000000,1270.0000000,4063.0000000,525.8377075,281.0127258,2.4409101,4420047.0000000,7626.8164062,1612.3422852,90.6759491,1.0472487,654.8552856,2385.8955078,71925850112.0000000,117267.9843750,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,866.5284424,391.1700134,2.4842684,5539375.0000000,8738.8583984,2063.8813477,163.5010223,1.0970812,2648,,,none,,,,,1.0000000,0.5000000,,4.854260710259905
359,2984,23.8691006,23.8691006,435.0000000,0.0000000,1.5000000,3.0000000,12.3484507,1.0000000,0.0000000,1.0000000,114.7551117,4.6306691,4.6306691,129.5554810,578.9550781,12204795.0000000,377.5093384,328.9190979,80.0000000,1142.8522949,1307.9044189,28347.0000000,53.0000000,179.0000000,50.4811249,34.7300911,1.5028214,16210.2080078,529.1549072,202.6677399,19.9768906,1.3745711,293.6559143,1238.0196533,100112424.0000000,552.0702515,670.2354126,580.0000000,12618.8105469,13542.5302734,230433.0000000,358.0000000,1150.0000000,138.7555389,63.0851250,2.9243820,506839.6875000,2878.2524414,631.4767456,334.9377747,1.3007004,334.0196838,1401.0643311,132311344.0000000,472.4541931,510.7370605,1263.0000000,41509.2500000,38776.3867188,304454.0000000,734.0000000,2360.0000000,199.7914124,95.0173798,2.9359481,2185626.7500000,5590.2690430,1092.5338135,121.8142548,1.1378357,400.8357239,1510.2780762,164421088.0000000,470.5921021,506.8515320,2058.0000000,74852.2187500,72128.1875000,378082.0000000,1168.0000000,3735.0000000,379.2157288,207.5918732,2.6892023,3544247.0000000,6879.8442383,1402.9592285,118.5695343,1.0627310,480.1275330,1588.9302979,195139696.0000000,466.8873291,499.3367310,2301.0000000,90061.5312500,91288.0078125,448887.0000000,1272.0000000,4069.0000000,551.5222778,295.5920410,2.5683343,4420047.0000000,7626.8164062,1625.9284668,90.0090408,1.0472487,668.1718750,1729.7094727,266679360.0000000,434.7943115,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,889.3894653,397.8544617,2.6023145,5539375.0000000,8738.8583984,2049.8662109,162.9848938,1.0970812,2984,,,none,,,,,1.0000000,0.5000000,,12.348450928713671
360,2985,23.8691006,23.8691006,435.0000000,0.0000000,1.5000000,3.0000000,15.1568413,1.0000000,0.0000000,1.0000000,129.0310974,5.6838155,5.6838155,131.2908173,575.3295898,14296710.0000000,414.6467896,401.9030457,91.0000000,1357.5639648,1565.6759033,33156.0000000,59.0000000,198.0000000,43.2501068,25.0163040,1.8101666,18519.3632812,580.1055298,186.9354248,18.7804432,1.4460326,288.5514832,1247.5257568,103165688.0000000,566.5358276,699.1342163,602.0000000,12989.5136719,14143.1279297,237453.0000000,375.0000000,1205.0000000,125.5074310,51.7012138,3.2360773,509851.6875000,2880.7314453,623.1491089,333.6512451,1.2952447,326.3638000,1394.9149170,132386160.0000000,472.9187927,511.6662292,1272.0000000,41708.7773438,39451.5742188,304464.0000000,744.0000000,2391.0000000,186.2584534,84.2850876,3.1400435,2185626.7500000,5590.2690430,1092.1274414,122.6721802,1.1378357,395.3038025,1506.4223633,164916544.0000000,471.5633240,508.7916260,2071.0000000,75898.7500000,73191.6171875,379408.0000000,1173.0000000,3750.0000000,368.3650208,198.0787506,2.8519907,3544247.0000000,6879.8442383,1401.6007080,119.2356567,1.0627310,477.0463562,1586.6934814,196412064.0000000,469.7176208,504.9936218,2305.0000000,90107.8046875,91388.4218750,451812.0000000,1272.0000000,4069.0000000,544.4686279,287.7453003,2.7057636,4420047.0000000,7626.8164062,1616.9210205,90.4915466,1.0472487,662.3713379,1725.0249023,266679360.0000000,434.7943115,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,875.9319458,392.6821594,2.6877253,5539375.0000000,8738.8583984,2060.2685547,163.3368378,1.0970812,2985,,,none,,,,,1.0000000,0.5000000,,15.156841268243628
361,2986,23.8691006,23.8691006,435.0000000,0.0000000,1.5000000,2.0000000,7.3278499,1.0000000,0.0000000,1.0000000,151.5075378,2.7479436,2.7479436,128.3963928,727.2888794,11618415.0000000,374.5021057,323.3490295,76.0000000,1078.4375000,1307.9044189,26999.0000000,49.0000000,166.0000000,42.2865601,25.9364834,1.6500742,16728.0605469,530.5993042,165.6165466,15.8424873,1.3393002,293.2918701,1373.1008301,97529392.0000000,544.3876953,654.8992310,548.0000000,11466.7812500,12369.9052734,224497.0000000,345.0000000,1109.0000000,122.2586594,46.1767044,3.3461401,493863.9062500,2851.7375488,619.4649658,331.4066772,1.3103942,336.3588257,1550.0718994,132379416.0000000,472.8762207,511.5811768,1258.0000000,41360.0781250,38346.1757812,304449.0000000,732.0000000,2354.0000000,180.8598938,77.5849838,3.1981928,2185626.7500000,5590.2690430,1083.4616699,123.8850174,1.1378357,403.2165833,1661.1180420,164793664.0000000,470.9949646,507.6554260,2061.0000000,75372.2500000,72488.3671875,379125.0000000,1168.0000000,3735.0000000,358.5390015,188.5708771,2.9025404,3544247.0000000,6879.8442383,1391.5129395,120.1561890,1.0627310,484.0028076,1741.7043457,196412064.0000000,469.7176208,504.9936218,2305.0000000,90107.8046875,91388.4218750,451812.0000000,1272.0000000,4069.0000000,532.7299805,278.9174805,2.7453082,4420047.0000000,7626.8164062,1597.2379150,91.0174789,1.0472487,667.4788818,1880.0433350,266679360.0000000,434.7943115,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,860.3353882,389.7013245,2.6913543,5539375.0000000,8738.8583984,2068.5793457,163.9794312,1.0970812,2986,,,none,,,,,1.0000000,0.5000000,,7.327849793062700
362,2987,23.8691006,23.8691006,435.0000000,0.0000000,1.5000000,2.0000000,7.9343438,1.0000000,7.0334344,1.0011326,179.6269531,5.6129169,5.6129169,113.0132904,529.6522827,10112010.0000000,373.0817871,321.8833313,66.0000000,986.2386475,1255.1776123,23536.0000000,41.0000000,141.0000000,66.4330902,42.4465103,1.7218715,15282.4589844,507.7321167,128.0012360,17.8881187,1.3423513,294.0840149,1138.6259766,91448312.0000000,513.3504639,592.8994751,504.0000000,10154.4580078,11628.2207031,210516.0000000,317.0000000,1022.0000000,144.1679840,47.1596107,3.7105868,459829.8125000,2817.9892578,594.2122192,329.8796082,1.3742688,342.2041626,1340.0217285,130897808.0000000,468.6411743,503.1204529,1211.0000000,39526.9570312,35766.3867188,301044.0000000,699.0000000,2246.0000000,200.4973450,73.5246048,3.6469848,2166942.2500000,5575.1250000,1099.0490723,125.2308502,1.1414372,411.7064209,1451.8037109,164026752.0000000,468.7850647,503.2387085,2032.0000000,73445.4921875,70305.5156250,377363.0000000,1152.0000000,3685.0000000,381.2997131,183.9013519,3.2711568,3522227.5000000,6859.9233398,1405.3428955,121.2468796,1.0631909,490.7262573,1529.0408936,194640752.0000000,465.8308716,497.2252502,2296.0000000,89154.7343750,90482.6875000,447740.0000000,1270.0000000,4063.0000000,549.2854004,271.1316528,3.0668535,4420047.0000000,7626.8164062,1596.4821777,93.9834671,1.0472487,680.4757690,1669.3525391,266679360.0000000,434.7943115,435.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,884.5185547,390.5079956,2.9149008,5539375.0000000,8738.8583984,2096.9172363,164.2498322,1.0970812,2987,,,none,,,,,1.0000000,0.5000000,,7.934343832600729
