OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,41,24.7271996,23.1721992,31.0000000,0.0000000,1.0000000,2.0000000,29.2205944,1.0000000,116.3895645,1.6146661,114.2524948,36.4025383,36.5969124,114.3759384,5.1177535,8752.3330078,25.5076084,24.2440395,12.0000000,703.9736328,1055.7060547,303.0000000,7.0000000,21.0000000,157.2044525,73.9904785,2.1700265,12916.3867188,542.1254883,198.0691223,42.0902710,1.8107092,336.7161865,15.7424593,124227.3359375,22.3857441,14.0895939,211.0000000,7897.9462891,5444.3222656,4028.0000000,148.0000000,481.0000000,457.2382812,185.5904236,2.5414686,423620.0937500,2566.0895996,539.7346191,128.6979523,1.2369645,524.1790161,191.2411499,2990812.7500000,24.1085358,17.2303200,932.0000000,37446.1171875,28609.5058594,96716.0000000,580.0000000,1872.0000000,788.0308228,367.2936707,2.2340300,1981701.6250000,5330.7070312,1050.2700195,125.0650101,1.1410942,644.7092896,426.3928833,8142377.5000000,27.9653625,24.9355869,1694.0000000,63679.0703125,59670.0351562,263585.0000000,1004.0000000,3212.0000000,892.4379272,388.3641052,2.3940744,3314502.5000000,6757.7392578,1228.5648193,314.7030640,1.0964142,724.1694336,584.5313721,12448184.0000000,30.6335659,30.2703209,2217.0000000,85867.6484375,86423.5546875,401575.0000000,1230.0000000,3925.0000000,985.2926636,434.0897827,2.3923516,4157812.5000000,7427.4233398,1309.2878418,10.0823240,1.0558485,907.4283447,755.5378418,19013086.0000000,30.9989548,31.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1314.1333008,576.1309204,2.3567822,5539375.0000000,8738.8583984,1906.1503906,173.1518097,1.0970812,0,41,,,,,,,,0.2500000,0.7500000,,29.179165202179373
2,45,30.8435993,32.6525002,60.0000000,0.0000000,1.5000000,2.0000000,57.7686653,1.0000000,315.8563232,1.2012454,291.8701477,140.6149139,140.2757568,104.8338623,2.5592923,10200.0000000,40.2185860,43.2943115,6.0000000,207.5628052,666.6571045,210.0000000,4.0000000,12.0000000,64.8494263,49.0629921,1.2990022,4409.3764648,294.5784302,104.2878799,157.2352448,1.5660833,184.1936646,3.5572906,25020.0000000,36.3539772,23.2112370,20.0000000,908.0017700,1584.0369873,457.0000000,14.0000000,42.0000000,143.9880524,85.4774246,1.5971246,25099.6679688,726.9649048,247.2447662,187.0233459,1.6755179,519.2363892,14.4219999,378600.0000000,31.0172958,2.7902586,296.0000000,11087.8642578,7384.8940430,6352.0000000,202.0000000,654.0000000,578.5174561,161.9672089,4.1503768,565303.8750000,2945.9262695,704.4276123,137.3835907,1.2216644,707.4530640,176.9122467,7299960.0000000,40.3952217,20.8296719,1081.0000000,42986.9804688,31564.0136719,122357.0000000,668.0000000,2149.0000000,898.5120850,297.8036499,3.2900701,2202728.0000000,5747.6435547,1163.7873535,130.9546356,1.1934628,832.8924561,379.6484375,18365550.0000000,51.3237534,42.6631279,1836.0000000,68251.0546875,65416.4648438,307344.0000000,1081.0000000,3458.0000000,994.4478149,340.2297668,3.1396329,3644480.0000000,7067.4624023,1293.2598877,127.9733200,1.0906404,1070.8674316,619.0953369,36798360.0000000,59.9960861,60.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1394.4519043,542.5814209,2.8349309,5539375.0000000,8738.8583984,2066.6914062,173.1513367,1.0970812,0,45,,,none,,,,,0.5000000,1.0000000,,57.594504729055643
3,214,0.0000000,0.0000000,1.0000000,0.0000000,0.5000000,2.0000000,206.5458679,1.0000000,55.7868042,1.0430591,157.5286560,32.9291039,33.3715897,72.4749756,0.5072312,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,126.9758987,94.4794083,1.3446156,8212.6582031,493.8331299,148.0746460,3.7578557,2.3630168,72.4749756,0.5072312,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,126.9758987,94.4794083,1.3446156,8212.6582031,493.8331299,148.0746460,3.7578557,2.3630168,72.4749756,0.5072312,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,126.9758987,94.4794083,1.3446156,8212.6582031,493.8331299,148.0746460,3.7578557,2.3630168,72.4749756,0.5072312,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,126.9758987,94.4794083,1.3446156,8212.6582031,493.8331299,148.0746460,3.7578557,2.3630168,72.4749756,0.5072312,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,126.9758987,94.4794083,1.3446156,8212.6582031,493.8331299,148.0746460,3.7578557,2.3630168,72.4749756,0.5072312,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,126.9758987,94.4794083,1.3446156,8212.6582031,493.8331299,148.0746460,3.7578557,2.3630168,0,214,,,no_23,,,,,0.2500000,0.2500000,,206.167648469132814
4,215,0.0000000,0.0000000,30.0000000,0.0000000,0.7500000,2.0000000,51.0489464,0.9999999,117.6941223,1.1552168,110.8436508,31.8032284,31.6553764,12.9778528,2.8894074,360.0000305,11.2500010,30.0000019,3.0000000,311.9648438,307.6929932,32.0000038,2.0000000,6.0000000,21.6248856,17.9587536,1.1685255,8212.6582031,493.8331299,186.2391205,163.8723755,2.3630168,12.9778528,2.8894074,360.0000305,11.2500010,30.0000019,3.0000000,311.9648438,307.6929932,32.0000038,2.0000000,6.0000000,21.6248856,17.9587536,1.1685255,8212.6582031,493.8331299,186.2391205,163.8723755,2.3630168,12.9778528,2.8894074,360.0000305,11.2500010,30.0000019,3.0000000,311.9648438,307.6929932,32.0000038,2.0000000,6.0000000,21.6248856,17.9587536,1.1685255,8212.6582031,493.8331299,186.2391205,163.8723755,2.3630168,12.9778528,2.8894074,360.0000305,11.2500010,30.0000019,3.0000000,311.9648438,307.6929932,32.0000038,2.0000000,6.0000000,21.6248856,17.9587536,1.1685255,8212.6582031,493.8331299,186.2391205,163.8723755,2.3630168,12.9778528,2.8894074,360.0000305,11.2500010,30.0000019,3.0000000,311.9648438,307.6929932,32.0000038,2.0000000,6.0000000,21.6248856,17.9587536,1.1685255,8212.6582031,493.8331299,186.2391205,163.8723755,2.3630168,12.9778528,2.8894074,360.0000305,11.2500010,30.0000019,3.0000000,311.9648438,307.6929932,32.0000038,2.0000000,6.0000000,21.6248856,17.9587536,1.1685255,8212.6582031,493.8331299,186.2391205,163.8723755,2.3630168,240004117,215,,,none,,,,,0.2500000,0.5000000,,50.992650736569892
5,216,0.0000000,0.0000000,1.0000000,0.0000000,0.5000000,2.0000000,54.3700104,1.0000001,134.2120667,1.0728573,208.8148346,23.7822666,23.5727596,24.4189587,1.4274030,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,54.0583000,40.5497589,1.3508464,8212.6582031,493.8331299,223.0989075,161.3988953,2.3630168,24.4189587,1.4274030,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,54.0583000,40.5497589,1.3508464,8212.6582031,493.8331299,223.0989075,161.3988953,2.3630168,24.4189587,1.4274030,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,54.0583000,40.5497589,1.3508464,8212.6582031,493.8331299,223.0989075,161.3988953,2.3630168,24.4189587,1.4274030,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,54.0583000,40.5497589,1.3508464,8212.6582031,493.8331299,223.0989075,161.3988953,2.3630168,24.4189587,1.4274030,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,54.0583000,40.5497589,1.3508464,8212.6582031,493.8331299,223.0989075,161.3988953,2.3630168,24.4189587,1.4274030,31.3333340,0.9791666,0.9999999,3.0000000,311.9648132,307.6929932,32.0000000,2.0000000,6.0000000,54.0583000,40.5497589,1.3508464,8212.6582031,493.8331299,223.0989075,161.3988953,2.3630168,240004146,216,,,none,,,,,0.2500000,0.2500000,,54.196924611141569
6,659,19.5011005,13.3381996,30.0000000,0.0000000,0.7500000,4.0000000,28.6140938,1.0000000,172.2443390,1.3393791,161.7013702,37.7510414,38.3288116,150.1534424,6.8337626,21034.0000000,30.3600082,28.3030071,68.0000000,2996.9963379,2241.0092773,675.0000000,51.0000000,164.0000000,192.5323486,113.1900558,1.9097620,143280.8281250,1497.0574951,302.0550232,78.9049606,1.2447411,348.2769775,119.9826431,3157304.0000000,296.7777710,34.3010254,603.0000000,22855.4824219,16518.0175781,39737.0000000,398.0000000,1286.0000000,531.8480225,315.8182983,1.7260998,1091479.7500000,3876.4902344,763.2348022,139.0952301,1.0955995,466.9145508,404.4606323,56949860.0000000,590.4766235,33.6058426,1400.0000000,53558.5898438,47323.1914062,180127.0000000,834.0000000,2678.0000000,735.5789185,377.8312378,1.9878588,2669050.2500000,6179.5629883,1218.6005859,297.8594055,1.1385417,583.6039429,684.0073242,187836128.0000000,719.3248291,36.1790085,2124.0000000,77902.6406250,76768.1875000,372693.0000000,1201.0000000,3834.0000000,820.5233765,423.6898499,1.9847455,3873979.0000000,7234.7368164,1233.3930664,359.6117249,1.0751730,636.4350586,764.9260864,326436032.0000000,828.2556152,34.1576653,2307.0000000,89497.4375000,89721.5234375,445684.0000000,1277.0000000,4083.0000000,933.3883057,488.1052246,1.9675888,4406386.5000000,7620.8125000,1393.5216064,199.4251251,1.0488421,785.2982788,908.4116211,534457376.0000000,871.3798828,30.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1193.7471924,600.4562378,2.0015826,5539375.0000000,8738.8583984,1968.4382324,175.0084381,1.0970812,0,659,,,none,,,,,0.2500000,0.5000000,,27.077194948495340
7,660,25.6434994,30.8435993,30.0000000,0.0000000,0.7500000,4.0000000,56.3760071,1.0000000,208.3859253,1.1920928,309.4421082,50.1521873,49.6646805,106.8879242,5.5049920,27300.0000000,89.8317871,36.7037201,12.0000000,550.3687744,1253.6273193,390.0000000,7.0000000,21.0000000,88.2838058,56.0298080,1.4832823,12987.4062500,453.3935852,132.5595093,190.1033173,1.2595589,235.2171173,6.7907925,84660.0000000,100.3305511,11.7797174,68.0000000,2988.7370605,2753.6276855,821.0000000,50.0000000,161.0000000,236.5275421,102.3635330,2.0616856,134644.7968750,1442.4772949,332.4863281,91.5170746,1.2297548,545.0634155,73.9903717,2261565.0000000,109.8011856,7.1761661,593.0000000,22694.7695312,16500.6367188,37670.0000000,390.0000000,1259.0000000,670.1600342,268.3279419,2.6820168,1091479.7500000,3876.4902344,837.2382202,140.2697144,1.0955995,666.6161499,274.9106140,27284924.0000000,143.9937744,15.4881172,1393.0000000,53441.6445312,46588.3945312,177212.0000000,830.0000000,2666.0000000,876.8373413,335.4206848,2.7561321,2669050.2500000,6179.5629883,1161.3421631,281.0891724,1.1385417,784.6022339,492.2841492,66422820.0000000,182.4420319,26.4307613,2120.0000000,77881.5781250,76768.1875000,370606.0000000,1201.0000000,3834.0000000,963.7858276,383.7581787,2.6435256,3873979.0000000,7234.7368164,1247.1010742,130.1503448,1.0751730,987.6301880,682.5516357,128780464.0000000,209.9638062,30.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1337.3925781,569.5199585,2.4949033,5539375.0000000,8738.8583984,2038.3835449,174.1865997,1.0970812,0,660,,,none,,,,,0.2500000,0.5000000,,56.062438434434362
8,662,25.6434994,23.8407001,30.0000000,0.0000000,0.7500000,4.0000000,26.9867668,0.9999999,98.6685410,1.1678607,135.4806366,23.5663795,23.7353916,101.2954407,8.2266827,41730.0000000,115.5616684,41.1063614,14.0000000,608.2034912,1542.2612305,451.0000000,8.0000000,24.0000000,83.7427521,57.9394836,1.4236968,15179.3720703,476.5383911,124.8975906,203.5484009,1.1905075,326.7053833,14.0974846,187860.0000000,132.9132690,12.7120361,144.0000000,5515.8623047,4118.4516602,2632.0000000,104.0000000,338.0000000,383.2066040,159.2491302,2.3442369,256819.8593750,2031.6533203,477.6683655,265.0517883,1.2789711,531.5421753,138.4675903,6898755.0000000,181.8333435,12.3509140,791.0000000,31349.2578125,22897.7089844,69345.0000000,510.0000000,1647.0000000,720.9087524,319.8938293,2.3279595,1721044.5000000,5058.6801758,1085.5561523,137.8997803,1.1832391,651.6176147,358.1349792,48495180.0000000,235.1013489,20.1147270,1566.0000000,59130.0781250,52967.2382812,223187.0000000,938.0000000,3006.0000000,858.6106567,368.1184082,2.4224977,2948629.7500000,6461.1337891,1197.8842773,225.3836060,1.1266457,747.8580322,548.1838989,110400544.0000000,294.8522644,28.1338749,2185.0000000,84013.8359375,82881.3125000,389304.0000000,1225.0000000,3910.0000000,943.4308472,417.1402588,2.3630459,4103265.0000000,7400.4687500,1329.9053955,183.3713226,1.0621333,939.4724121,726.8474731,202349584.0000000,329.9109802,30.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1295.7282715,586.4810181,2.2941563,5539375.0000000,8738.8583984,2012.9543457,174.7563171,1.0970812,0,662,,,none,,,,,0.2500000,0.5000000,,26.911526986400354
9,665,27.4815998,30.0230007,30.0000000,0.0000000,0.7500000,2.0000000,83.3913345,0.9999999,236.0872192,1.1736944,282.4448242,60.2982445,60.0599899,106.7220688,5.3909407,10230.0000000,27.4625587,28.2492199,12.0000000,546.6887207,1226.4049072,361.0000000,8.0000000,24.0000000,131.7591553,71.9295883,1.7380662,12757.6162109,434.9103394,120.6857986,76.2175980,1.1798317,300.3449097,8.5846767,43065.0000000,20.6540642,12.1102657,107.0000000,4157.1157227,3202.1186523,1496.0000000,80.0000000,261.0000000,390.5621338,92.9324570,4.5456123,182623.0781250,1667.7393799,398.0598755,84.9755478,1.2119672,542.1296387,118.3548126,1837845.0000000,20.5215263,11.0626345,716.0000000,27605.8535156,20054.2968750,61283.0000000,463.0000000,1497.0000000,791.9617920,305.2194824,2.9196198,1187259.1250000,4057.6516113,835.2114868,134.9056244,1.1035554,653.4460449,315.8586426,5954640.0000000,23.7879219,17.5818691,1496.0000000,56888.0156250,51321.4921875,199207.0000000,889.0000000,2854.0000000,941.4653320,324.7246399,3.1140211,2807149.5000000,6308.9604492,1154.4750977,121.5713654,1.1283405,761.2597046,523.3025513,11425905.0000000,28.7012157,27.4055824,2161.0000000,81958.9765625,79687.6562500,381012.0000000,1219.0000000,3891.0000000,1032.6284180,364.3915100,3.0605597,4023237.0000000,7356.0810547,1296.7650146,179.9716644,1.0703050,958.1045532,707.5502930,18399780.0000000,29.9990215,30.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1391.2677002,537.2089844,2.8226233,5539375.0000000,8738.8583984,1991.0654297,172.4148712,1.0970812,0,665,,,none,,,,,0.2500000,0.5000000,,83.177072113733260
10,1086,23.8407001,19.5011005,30.0000000,0.0000000,0.7500000,4.0000000,74.2898102,1.0000000,182.3101807,2.9141233,176.2863159,48.1911049,48.5979424,87.2597885,6.7253213,41550.0000000,106.3215256,28.3425522,22.0000000,944.5499878,1270.9626465,371.0000000,17.0000000,52.0000000,94.4167404,73.3313293,1.4409829,24575.4121094,715.2357178,239.0425873,214.7698975,1.6564858,334.7805786,31.9348736,983280.0000000,203.2551727,16.2516766,341.0000000,14110.7949219,9190.2890625,8917.0000000,236.0000000,767.0000000,474.5784912,241.3390961,1.9762293,836085.3750000,3469.3669434,780.6309814,142.2358093,1.1456184,496.9119263,274.8413391,30157364.0000000,394.0666809,23.2541733,1145.0000000,45790.2031250,35163.0195312,131098.0000000,706.0000000,2275.0000000,755.1140137,366.7338867,2.1082904,2340541.0000000,5832.0571289,1219.9948730,280.6839600,1.1564249,624.2998657,548.1488037,118519184.0000000,490.6421204,30.6661568,1912.0000000,70281.8281250,67715.6875000,324176.0000000,1124.0000000,3594.0000000,849.8552856,418.2139587,2.0923154,3715307.0000000,7117.8935547,1234.2861328,223.4910736,1.0851716,680.1469116,652.6278076,227655120.0000000,586.2648315,30.7238483,2254.0000000,88006.4062500,87806.1953125,415549.0000000,1257.0000000,4016.0000000,940.5355835,471.8404236,2.0701845,4398984.0000000,7618.5825195,1438.7203369,199.7102509,1.0499923,853.0694580,817.2880249,386191392.0000000,629.6468506,30.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1245.1402588,611.0804443,2.0754986,5539375.0000000,8738.8583984,2006.7668457,175.7271729,1.0970812,240003547,1086,,,no_50,,,,,0.2500000,0.5000000,,73.933682188563353
