OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,10,38.5708008,28.0151005,275.0000000,1.0000000,2.2500000,5.0000000,62.3917274,1.0000000,88.2681274,1.1726184,124.2984543,84.7461700,84.7461700,122.2571259,33.4773216,799263.3125000,223.7771912,202.5146332,40.0000000,1569.2805176,1430.4488525,3084.0000000,29.0000000,92.0000000,136.5823822,98.5019989,1.4544811,54254.5703125,994.7629395,246.7643585,154.7465210,1.4514197,196.6049652,46.3945961,1735564.8750000,267.0375061,268.2611389,224.0000000,13964.1494141,9574.4687500,6428.0000000,145.0000000,461.0000000,194.5727081,117.5245895,1.7117758,1117914.2500000,4122.2963867,908.2403564,300.7160034,1.2096510,489.5052185,99.6331100,9756517.0000000,222.1511078,166.3052979,692.0000000,36226.0156250,24657.0410156,35774.0000000,428.0000000,1375.0000000,967.1616211,607.9491577,1.6147252,2465696.0000000,6252.4453125,1605.9129639,309.6393433,1.2616835,663.2119141,301.8281555,49016808.0000000,213.9625702,148.4888611,1389.0000000,61866.6679688,52069.6445312,177974.0000000,835.0000000,2669.0000000,1189.8679199,732.2485962,1.6288227,3756300.0000000,7130.8115234,1667.9803467,330.4705811,1.0772283,787.9018555,528.6912231,105605128.0000000,266.4263000,251.7290649,2168.0000000,88554.9609375,86740.3593750,380874.0000000,1220.0000000,3895.0000000,1355.4128418,790.7930298,1.6996645,4411768.5000000,7624.0498047,1697.1724854,329.2229614,1.0484527,958.2612915,718.7062988,171072016.0000000,278.9159851,275.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1703.0661621,878.9591064,1.9126399,5539375.0000000,8738.8583984,1710.6894531,347.5287781,1.0970812,240003505,10,,,,,,,,1.2500000,1.0000000,,52.181995252429793
2,556,33.7246017,38.5844994,1.0000000,0.0000000,0.5000000,3.0000000,26.2626801,1.0000000,143.4346313,1.1316155,265.9927368,21.5671692,21.2634258,146.6981354,23.9313545,2694.3332520,0.8283532,0.6572012,43.0000000,1402.6230469,2769.9133301,2695.0000000,30.0000000,96.0000000,156.1354828,123.4566193,1.2719710,38818.4179688,809.6870117,214.8898773,215.8199768,1.3439610,224.9900055,37.3221016,6378.3334961,0.9872734,0.9747559,174.0000000,8969.2783203,8165.1840820,6379.0000000,107.0000000,337.0000000,233.7508698,152.7577209,1.5000237,741828.5000000,3315.0417480,658.2778320,294.3525085,1.1788665,407.5298462,49.8020821,13031.3330078,0.7608268,0.5217524,523.0000000,27823.7792969,18661.2460938,13485.0000000,330.0000000,1055.0000000,797.2153320,436.1357422,1.7086329,1723841.2500000,5199.3046875,1288.1745605,299.5081787,1.2479104,693.1295776,216.4725189,133647.3281250,0.7070927,0.4141954,1150.0000000,54346.6484375,41737.7304688,133648.0000000,697.0000000,2234.0000000,1415.1759033,732.5259399,1.9209652,3309053.0000000,6832.8276367,1649.0042725,306.0346375,1.1227610,823.6823730,427.3606567,325712.3437500,0.8811367,0.7622774,1999.0000000,81116.5234375,75926.2812500,325790.0000000,1158.0000000,3700.0000000,1577.7182617,803.3264771,1.9525881,4217406.0000000,7460.1850586,1692.2280273,324.6228943,1.0501320,1023.9790039,661.0917358,613345.3125000,0.9999989,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1966.7894287,919.1385498,2.1098976,5539375.0000000,8738.8583984,1692.2280273,324.6228943,1.0970812,240003408,556,,,no_73,,,,,0.0000000,0.5000000,,24.082641977305883
3,559,38.5844994,38.5844994,40.0000000,0.0000000,0.7500000,5.0000000,29.0074558,1.0000000,95.9775238,1.1082448,123.2234268,23.4346828,23.4346828,126.5329285,35.3704567,335773.3437500,97.6453247,32.1162758,45.0000000,1481.1148682,2579.9672852,3283.0000000,27.0000000,86.0000000,146.9523010,106.3857880,1.4307005,44629.3593750,832.8262939,219.2164154,229.6367035,1.2367398,195.6768188,47.1777573,749873.3125000,116.0249710,38.9936905,175.0000000,9548.1464844,8486.9765625,6380.0000000,108.0000000,341.0000000,221.5094604,134.5325470,1.6190759,646512.4375000,3226.0898438,645.1320801,89.6356583,1.2810503,343.2953796,54.9046364,1072453.3750000,88.8303986,20.5428886,506.0000000,27040.7031250,17536.0800781,10701.0000000,327.0000000,1045.0000000,599.4287720,338.3896179,1.7016715,1808212.0000000,5393.4516602,1268.5898438,299.7585144,1.2801898,693.7564697,218.1091614,13202573.0000000,80.6003876,15.8878069,1128.0000000,53652.3007812,40774.8281250,128392.0000000,693.0000000,2223.0000000,1345.8447266,713.2029419,1.8808930,3186747.5000000,6676.9902344,1630.1508789,306.3070068,1.1132789,826.5192871,428.3276062,35703332.0000000,101.4219360,29.8526554,1973.0000000,81851.0937500,76054.5781250,320086.0000000,1144.0000000,3657.0000000,1510.8356934,785.9688721,1.9118404,4291738.5000000,7493.2939453,1676.8658447,325.0806580,1.0411240,1030.2504883,666.4656372,73586936.0000000,119.9762192,40.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1901.0334473,902.1416626,2.0763822,5539375.0000000,8738.8583984,1676.8658447,325.0806580,1.0970812,0,559,,,no_73,,,,,0.2500000,0.5000000,,29.007454836337903
4,564,38.5844994,38.6010017,40.0000000,0.0000000,0.7500000,4.0000000,14.5115690,1.0000000,20.1147652,1.0149615,185.5134125,6.4939852,6.4924378,109.3374863,63.7947121,1179777.3750000,315.5393982,40.2230148,66.0000000,2053.3007812,3013.5075684,3890.0000000,47.0000000,149.0000000,145.4399719,102.3684158,1.4389697,60891.5429688,964.0465088,236.3393860,205.7307281,1.2145884,161.9595032,74.3771820,2215157.2500000,347.5694885,39.1289787,210.0000000,11635.8808594,9146.1308594,6415.0000000,137.0000000,435.0000000,200.6897430,125.4583893,1.5673538,849038.5000000,3608.8586426,796.2770386,294.8603821,1.2206819,467.3207092,113.7493668,3891512.2500000,196.4962158,23.2995663,651.0000000,33931.5468750,23411.7480469,28262.0000000,405.0000000,1300.0000000,1094.3428955,577.7628174,1.8359078,2222003.0000000,6072.4418945,1617.9473877,305.6013794,1.3206029,669.0081787,310.5824890,28282954.0000000,153.5205994,20.4146252,1328.0000000,59461.8046875,49378.8046875,167272.0000000,802.0000000,2564.0000000,1411.7990723,720.8802490,1.9501747,3687596.7500000,7064.6689453,1651.3538818,315.0196838,1.0770363,796.6531982,535.4371948,67060356.0000000,181.6786652,35.3229637,2138.0000000,86984.0468750,84727.6640625,369502.0000000,1212.0000000,3870.0000000,1578.4486084,788.5823364,1.9881506,4411768.5000000,7624.0498047,1670.1881104,325.4456787,1.0484527,973.7178955,734.2308350,124984184.0000000,203.7743530,40.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1937.5817871,893.1096191,2.1397071,5539375.0000000,8738.8583984,1670.1881104,325.4456787,1.0970812,0,564,,,none,,,,,0.2500000,0.5000000,,14.511553422902953
5,569,38.6010017,30.0251999,1.0000000,0.0000000,0.5000000,4.0000000,30.9574909,1.0000001,150.5431213,1.0665839,127.7664490,22.6877956,23.2237816,137.7469482,24.3163204,22189.8339844,15.6463537,1.1051159,103.0000000,3982.0817871,4306.5341797,3067.0000000,70.0000000,224.0000000,134.0169373,103.0498352,1.3629936,125350.8203125,1530.6829834,356.6434021,303.7897644,1.4874195,213.8587494,38.7544174,450390.3437500,66.6575546,1.0019780,309.0000000,16841.1933594,11860.6982422,6912.0000000,208.0000000,660.0000000,251.0282593,159.0028687,1.5234128,1062293.6250000,3969.0104980,953.4462891,295.8060608,1.1800762,497.1031494,139.3517609,14991057.0000000,318.0556641,0.7006926,846.0000000,42340.0664062,30697.0820312,60197.0000000,522.0000000,1682.0000000,1217.8607178,680.1239014,1.7685760,2725159.5000000,6314.6611328,1634.4089355,307.0243835,1.1643895,645.7413330,381.9404297,111064056.0000000,506.6888123,0.6954142,1631.0000000,67863.0625000,61150.5273438,228446.0000000,982.0000000,3139.0000000,1408.2805176,767.3572998,1.8258345,3876955.2500000,7186.1464844,1699.2834473,326.5492859,1.0599649,745.2777100,581.7543335,256151728.0000000,661.0125122,0.9852130,2228.0000000,90352.6406250,88969.2031250,402807.0000000,1244.0000000,3971.0000000,1544.3143311,814.1765747,1.8803102,4428862.5000000,7631.3120117,1699.2834473,326.5492859,1.0463967,902.1289673,758.5744629,442079296.0000000,720.7666016,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1878.4825439,905.3583374,2.0449603,5539375.0000000,8738.8583984,1699.2834473,326.5492859,1.0970812,0,569,,,none,,,,,0.0000000,0.5000000,,28.234614293932250
6,572,38.5909996,29.0000000,1.0000000,0.0000000,0.5000000,5.0000000,114.7405853,0.9999999,426.5512695,5.0562353,144.0226288,67.6622314,68.2616730,158.5043335,18.2262459,2731.3332520,0.9370406,0.8745692,80.0000000,2722.7868652,3739.6511230,2732.0000000,58.0000000,184.0000000,180.3369904,122.0745010,1.6097115,72125.2656250,1081.8032227,235.5483704,129.9734802,1.2912171,231.0294800,31.9638939,6527.8334961,0.9927899,0.9857841,243.0000000,14021.3369141,10266.2880859,6529.0000000,162.0000000,513.0000000,255.5836334,143.9980927,2.0041647,1023814.9375000,3939.8867188,939.0175781,300.7444153,1.2065245,496.4507141,92.6264496,39660.3320312,0.8107696,0.6215727,719.0000000,38296.3828125,26668.9726562,39661.0000000,441.0000000,1417.0000000,1203.4036865,650.1727905,1.8828285,2394240.2500000,6160.6611328,1636.4986572,309.4869995,1.2614703,660.4775391,303.5594482,186463.8281250,0.7822954,0.5645979,1417.0000000,61713.3632812,52891.6835938,187443.0000000,858.0000000,2742.0000000,1439.7364502,763.0403442,1.8933059,3768959.7500000,7135.2783203,1695.0777588,329.9639587,1.0749555,781.0177612,528.4151001,387585.8437500,0.9678578,0.9357192,2184.0000000,88179.7890625,85882.2656250,387773.0000000,1227.0000000,3916.0000000,1600.8620605,817.6567383,1.9508452,4427077.0000000,7630.5576172,1730.6148682,347.7090454,1.0466118,947.2389526,713.3091431,613345.3125000,0.9999989,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1950.7858887,905.3950806,2.1405795,5539375.0000000,8738.8583984,1732.2777100,346.7913208,1.0970812,0,572,,,none,,,,,0.0000000,0.5000000,,114.166512701848717
7,590,38.5681992,26.2040005,1.0000000,0.0000000,0.5000000,2.0000000,28.8054485,0.9999999,206.6360168,1.1172156,122.2533875,29.4400768,30.2128391,153.9747620,19.1618423,2735.3332520,0.8207052,0.6418976,45.0000000,1437.1044922,2500.3596191,2736.0000000,32.0000000,102.0000000,183.8231049,127.5032425,1.4716787,42944.0156250,858.6050415,215.8805237,332.1403503,1.3660744,225.8754730,32.5191193,6387.8334961,0.9870153,0.9742393,185.0000000,10151.6718750,8344.2675781,6389.0000000,116.0000000,366.0000000,242.0955200,140.0510254,1.9376125,768387.1250000,3371.6083984,721.6448975,80.4213257,1.1772923,421.0839233,47.0205956,14654.3330078,0.7645590,0.5292090,538.0000000,28804.3300781,19187.4179688,14655.0000000,340.0000000,1086.0000000,858.5187378,453.9905701,1.9290226,1819240.6250000,5394.6855469,1269.1414795,305.4629517,1.2730113,690.3353271,214.0821838,134930.8281250,0.7094052,0.4188203,1165.0000000,55241.6679688,42800.8671875,134787.0000000,709.0000000,2271.0000000,1433.6323242,747.0033569,1.9244586,3504599.0000000,7013.3666992,1665.0856934,329.1978149,1.1168759,822.1154785,428.6739502,329995.3437500,0.8873815,0.7747670,2020.0000000,83482.0000000,78527.1640625,329996.0000000,1167.0000000,3729.0000000,1603.3339844,813.0987549,1.9658803,4294494.5000000,7494.4716797,1729.5528564,328.9396362,1.0407828,1020.1042480,658.9494629,613345.3125000,0.9999989,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1984.7249756,907.7199097,2.1740842,5539375.0000000,8738.8583984,1738.8177490,346.9250793,1.0970812,0,590,,,none,,,,,0.0000000,0.5000000,,22.740534197677906
8,603,38.5811005,38.5681992,40.0000000,0.0000000,0.7500000,5.0000000,49.8313065,1.0000000,175.5983124,1.3884753,350.9534607,42.2680550,42.2692642,133.9434967,34.2622299,662835.3125000,206.1149902,35.0821571,72.0000000,2537.6877441,3484.9011230,3505.0000000,51.0000000,162.0000000,203.3190460,142.8122101,1.4547569,73728.7109375,1113.8522949,233.6366730,335.0774536,1.3390867,191.4361572,45.7251015,1765465.3750000,271.8325806,39.2702370,233.0000000,14570.9296875,10497.5117188,6438.0000000,146.0000000,463.0000000,252.9488220,147.4765015,1.9307121,1082292.3750000,3942.4167480,815.8154907,303.9348755,1.1428009,487.3161621,93.5785522,2840823.2500000,121.4009705,23.9813728,682.0000000,36454.3437500,25506.5781250,33070.0000000,414.0000000,1328.0000000,1030.5886230,628.2877197,1.6971974,2365174.0000000,6181.6596680,1634.0683594,310.4785461,1.2856928,666.3658447,288.5681458,8376348.5000000,43.9771767,20.9600792,1362.0000000,61087.8281250,50193.9218750,170716.0000000,826.0000000,2642.0000000,1272.3244629,762.2199707,1.6796995,3690394.7500000,7065.8735352,1689.5761719,319.6156006,1.0765867,791.5187988,512.3706665,16401723.0000000,42.6922188,35.4856834,2149.0000000,88106.3906250,86174.1328125,371101.0000000,1215.0000000,3879.0000000,1431.7308350,817.6883545,1.7427747,4411768.5000000,7624.0498047,1733.4821777,354.2472534,1.0484527,967.4479980,710.6567383,26095564.0000000,42.5462341,40.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1789.8659668,903.1470337,1.9668804,5539375.0000000,8738.8583984,1747.4635010,347.5843506,1.0970812,0,603,,,none,,,,,0.2500000,0.5000000,,49.831299600033645
9,607,38.5980988,38.5980988,40.0000000,0.0000000,0.7500000,4.0000000,33.9581490,1.0000000,0.0000000,1.0000000,302.6820374,6.3671532,6.3671532,112.3583984,110.6439514,2330745.2500000,564.7968750,55.3628311,70.0000000,2371.6208496,3227.5659180,5572.0000000,47.0000000,149.0000000,101.7820816,77.6225815,1.3017073,68030.1953125,1046.6383057,300.2653503,163.0549164,1.2813910,129.8777008,114.2986450,4385235.5000000,683.1378174,39.2203445,231.0000000,14624.9101562,10422.2412109,6436.0000000,145.0000000,460.0000000,127.1721497,87.4580231,1.3820895,1117914.2500000,4122.2963867,892.4500122,296.5898132,1.2096510,477.6553345,164.2282104,9056593.0000000,356.4161682,23.9130478,680.0000000,35352.8046875,24532.6972656,34194.0000000,418.0000000,1342.0000000,993.8682861,570.7794800,1.6840026,2340274.7500000,6172.3862305,1579.2346191,307.4407043,1.2954763,662.9390869,359.7081909,36654056.0000000,180.8263092,21.0157528,1363.0000000,60926.9375000,50879.6484375,172095.0000000,825.0000000,2638.0000000,1242.5886230,693.8798828,1.7786202,3687596.7500000,7064.6689453,1621.6333008,317.0155029,1.0770363,789.3243408,584.3688965,76885824.0000000,198.6237030,36.0251694,2151.0000000,88116.9531250,86174.1328125,373104.0000000,1217.0000000,3885.0000000,1405.2219238,757.8710327,1.8346497,4411768.5000000,7624.0498047,1651.3359375,327.5661926,1.0484527,964.5258789,781.0288086,126043424.0000000,205.5013428,40.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1761.9584961,857.4321289,2.0201004,5539375.0000000,8738.8583984,1651.8151855,346.4636536,1.0970812,0,607,,,none,,,,,0.2500000,0.5000000,,33.958149348144580
10,617,38.5708008,31.2506008,40.0000000,0.0000000,1.0000000,5.0000000,89.8778687,0.9999999,33.1876450,1.0176209,212.5050354,31.1235409,32.0385666,119.2973480,49.0447998,360993.3437500,179.8049622,57.5789719,95.0000000,4883.3579102,3828.9887695,4348.0000000,65.0000000,205.0000000,174.9117126,132.5662689,1.4569789,396621.6250000,2665.9697266,790.1661987,81.3891983,1.4260153,204.1530609,61.6467476,3456269.2500000,356.4657593,42.1028252,389.0000000,21234.0859375,13787.0429688,8009.0000000,254.0000000,809.0000000,321.3287659,218.6264648,1.6121999,1390650.5000000,4611.5878906,997.0464478,67.8087387,1.2169510,503.5462036,204.2272949,156620176.0000000,2998.3818359,32.4773369,955.0000000,47966.6718750,35113.9257812,83598.0000000,585.0000000,1886.0000000,1042.3967285,677.3649292,1.5505491,2949142.2500000,6476.2524414,1584.9957275,311.3041992,1.1317277,640.6777954,457.2469177,1252608512.0000000,6789.3525391,34.2369957,1783.0000000,74016.8515625,67873.0234375,260647.0000000,1067.0000000,3411.0000000,1183.7442627,751.1049194,1.5726285,3888730.0000000,7189.5371094,1693.0183105,330.9345703,1.0577528,724.4830322,629.2242432,3234682368.0000000,9129.1445312,40.4521027,2250.0000000,90734.0078125,90400.7734375,409875.0000000,1248.0000000,3985.0000000,1303.5644531,785.1191406,1.6458372,4428862.5000000,7631.3120117,1722.6108398,349.1755371,1.0463967,876.7860718,802.7482910,6659335680.0000000,10857.3876953,40.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1627.8190918,861.3289795,1.8706331,5539375.0000000,8738.8583984,1722.6108398,349.1755371,1.0970812,0,617,,,no_53,,,,,0.0000000,1.0000000,,88.843623803921787
