OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,1058,21.5993996,21.7593994,10.0000000,0.0000000,0.7500000,6.0000000,25.6433144,1.0000000,32.2172089,1.0375681,273.5230713,10.8679638,10.8529634,158.2789154,74.4401627,660263.3125000,67.5538406,6.6567488,102.0000000,3934.0810547,2538.9196777,9863.0000000,69.0000000,231.0000000,119.6096268,81.9227295,1.5415850,185408.8593750,1878.3945312,428.9463196,119.8570251,1.5143745,294.0602722,247.7285156,6192433.5000000,111.1397552,10.7763939,433.0000000,18957.9863281,14347.3408203,63260.0000000,273.0000000,884.0000000,254.8432770,164.7448120,2.3496153,1003702.0625000,3826.6181641,823.9522705,201.9484863,1.1609555,441.7366638,531.1266479,19662128.0000000,113.4072571,14.1099606,1179.0000000,45883.8632812,33162.3359375,205309.0000000,717.0000000,2340.0000000,593.6518555,365.3072510,2.3997419,2256609.0000000,5691.6440430,1477.2055664,193.9506226,1.1423765,552.8783569,765.8469238,43995552.0000000,131.9403229,14.4528017,1868.0000000,71569.2812500,62662.7617188,366871.0000000,1084.0000000,3489.0000000,827.5503540,504.3468323,2.2077081,3906035.7500000,7241.3457031,1963.7968750,166.1842957,1.0682982,628.6732178,896.7604980,67109064.0000000,153.0429993,13.4053335,2350.0000000,91129.0625000,91618.6953125,480766.0000000,1293.0000000,4137.0000000,971.9669189,602.7604980,2.0641265,4431366.5000000,7631.6523438,2092.2673340,184.1176605,1.0458987,767.2522583,1002.3591309,91085696.0000000,148.5062103,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1259.8750000,778.8241577,1.9692823,5539375.0000000,8738.8583984,2776.2365723,169.9501801,1.0970812,40003498,1058,,,none,,,,,0.2500000,0.5000000,,25.641939303189403
2,1059,21.7593994,20.7385006,10.0000000,0.0000000,0.7500000,5.0000000,16.0796165,1.0000000,0.0000000,1.0000000,287.2243652,3.0149281,3.1106372,157.5399780,78.1186752,557903.3125000,63.6119499,6.3511777,98.0000000,3884.0917969,2641.8603516,9273.0000000,67.0000000,225.0000000,129.0856781,88.8090363,1.6111547,182770.1562500,1867.1394043,445.1777344,119.3300171,1.5178832,301.0650024,271.2771606,6237213.5000000,108.0509949,11.4816284,433.0000000,18602.7675781,14230.1035156,69569.0000000,265.0000000,860.0000000,256.0055847,162.1721497,2.3797412,949179.1875000,3699.0927734,795.2770996,191.5955505,1.1471821,442.9099426,546.1914673,21215308.0000000,133.7030945,14.7410526,1160.0000000,44339.4531250,32500.7226562,209089.0000000,700.0000000,2283.0000000,581.1812744,359.4328613,2.2533467,2129644.0000000,5592.0947266,1478.0545654,193.1430969,1.1685092,551.1512451,767.6372070,41189764.0000000,140.9301453,14.3124189,1844.0000000,70520.3437500,61483.6875000,362557.0000000,1073.0000000,3455.0000000,836.8188477,509.0171509,2.0597572,3860830.7500000,7195.5107422,1930.9703369,166.6329651,1.0671676,629.2319336,900.5408936,59005992.0000000,143.0163422,13.4008989,2344.0000000,90937.7812500,91043.3984375,478331.0000000,1291.0000000,4131.0000000,979.9770508,603.8916016,1.9537479,4431366.5000000,7631.6523438,2096.6166992,183.5600891,1.0458987,770.5552368,1008.0272217,77347456.0000000,126.1073761,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1276.3797607,784.0183716,1.8838997,5539375.0000000,8738.8583984,2785.4147949,169.5646820,1.0970812,0,1059,,,none,,,,,0.2500000,0.5000000,,16.047176060435561
3,1060,22.0534000,21.7593994,10.0000000,0.0000000,0.7500000,4.0000000,9.8993444,1.0000000,0.0000000,1.0000000,352.6603088,1.8561270,1.8836896,145.5272980,58.3901062,180213.3281250,23.4860153,4.3670363,60.0000000,2371.5039062,1817.9157715,5652.0000000,41.0000000,141.0000000,87.2347946,61.8371544,1.5159061,94447.1796875,1216.1528320,274.6373901,292.8610840,1.2461705,312.0908203,256.0323181,2658618.2500000,38.2920494,10.4065533,350.0000000,14144.6884766,10779.0478516,68674.0000000,219.0000000,719.0000000,208.5624847,113.9293365,2.6524427,755459.0000000,3305.9694824,705.1958618,231.3468933,1.1512693,433.6867065,474.6479187,9429518.0000000,67.8914032,13.5472555,964.0000000,36291.1601562,27565.5683594,178645.0000000,579.0000000,1891.0000000,456.7346802,280.0795288,2.5868628,1791423.8750000,5313.4941406,1424.3835449,192.8576508,1.2541578,547.4299316,672.1130371,12263278.0000000,58.8274956,12.8129549,1656.0000000,64184.1601562,52469.3007812,315299.0000000,948.0000000,3063.0000000,773.8216553,465.0600586,2.2340331,3830804.5000000,7188.6816406,1921.9854736,166.8233795,1.0734916,656.9107056,841.0812988,13758298.0000000,42.1135101,12.8702383,2284.0000000,87691.0859375,85009.8046875,464800.0000000,1271.0000000,4067.0000000,952.4196777,580.3197021,2.0413115,4314092.5000000,7502.0742188,2068.3776855,173.5022736,1.0381578,811.7366943,957.4943237,15243753.0000000,24.8534317,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1271.9549561,777.1860962,1.9434319,5539375.0000000,8738.8583984,2776.7636719,169.7058105,1.0970812,0,1060,,,none,,,,,0.2500000,0.5000000,,9.894977615345512
4,1061,21.3243008,20.7385006,10.0000000,0.0000000,0.7500000,5.0000000,10.0664358,1.0000000,48.8281708,1.0969303,324.6680603,11.0427389,11.0976582,137.8234711,42.4064789,216693.3281250,29.4809303,4.0678191,56.0000000,2231.6684570,1805.3729248,5062.0000000,37.0000000,126.0000000,70.1357117,53.7267647,1.4055097,92370.9062500,1208.6459961,286.0423584,287.6716309,1.2584999,312.8213196,222.1665955,1361543.3750000,20.5419731,9.5923548,326.0000000,13438.5927734,9906.7832031,62611.0000000,202.0000000,665.0000000,195.4012299,109.3918610,2.2515059,737236.0000000,3269.4809570,696.7503052,230.2664032,1.1538284,434.7846375,433.1701965,2458568.2500000,16.5657768,13.0036640,908.0000000,35029.3242188,26344.1406250,168165.0000000,545.0000000,1779.0000000,422.7708130,270.4158325,2.1925604,1797844.0000000,5316.2265625,1425.9396973,192.2308655,1.2509648,555.2344971,634.8419800,3862003.2500000,14.1866293,12.6167517,1619.0000000,63102.2773438,51546.9804688,308397.0000000,926.0000000,2995.0000000,772.1242065,466.6301270,2.0060649,3830804.5000000,7188.6816406,1930.2009277,166.4267120,1.0734916,668.3585205,805.5004883,5388673.5000000,13.2420874,12.7531319,2260.0000000,86937.5859375,80846.7031250,460965.0000000,1267.0000000,4055.0000000,953.3567505,579.8983765,1.8873776,4314092.5000000,7502.0742188,2074.9868164,173.1095123,1.0381578,826.4970703,924.2174683,6912673.5000000,11.2704306,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1283.4898682,782.0701294,1.8274738,5539375.0000000,8738.8583984,2784.2880859,169.4226990,1.0970812,0,1061,,,none,,,,,0.2500000,0.5000000,,10.048217313601484
5,1062,21.5993996,22.3668003,10.0000000,0.0000000,0.5000000,6.0000000,25.4080124,1.0000000,12.9367228,1.0059795,230.0645142,4.8514667,4.8035040,150.0992432,115.2721939,7659917.5000000,632.8436279,8.1647606,107.0000000,4052.6464844,3080.9243164,13680.0000000,73.0000000,244.0000000,107.2245636,73.7435913,1.4893264,190883.6718750,1894.2789307,424.5085449,119.3446274,1.4959229,290.7124634,367.3748779,269958208.0000000,3892.0830078,13.8570604,471.0000000,19250.1992188,14910.5136719,91037.0000000,287.0000000,931.0000000,232.1638489,129.3261719,2.7503035,1003702.0625000,3826.6181641,819.5944214,202.2210541,1.1609555,418.2402649,618.8789673,1831463424.0000000,12692.2626953,15.5139980,1195.0000000,46009.1015625,33483.9296875,217722.0000000,715.0000000,2333.0000000,564.5372925,341.7963562,2.5961676,2256609.0000000,5691.6440430,1472.3410645,194.0771637,1.1423765,533.3642578,832.7155762,7209818112.0000000,31660.2968750,14.4445801,1864.0000000,71430.3359375,62561.5312500,366579.0000000,1082.0000000,3482.0000000,821.3196411,498.9932556,2.2106702,3865830.2500000,7197.7822266,1915.0626221,167.1965485,1.0664605,614.4989624,963.6398926,22351556608.0000000,66600.7500000,13.4056244,2349.0000000,91098.7421875,91602.1015625,480765.0000000,1293.0000000,4137.0000000,967.5097046,597.6542358,2.0683899,4431366.5000000,7631.6523438,2086.9165039,184.1828003,1.0458987,756.6491089,1069.0407715,79250587648.0000000,129210.2421875,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1256.3581543,773.8109741,1.9737750,5539375.0000000,8738.8583984,2770.4665527,169.9706573,1.0970812,40004138,1062,,,none,,,,,0.2500000,0.2500000,,25.379204731877124
6,1063,22.3668003,22.8407001,10.0000000,0.0000000,0.5000000,4.0000000,6.3222113,1.0000000,0.0000000,1.0000000,220.4414978,0.8198951,0.7902764,145.6037903,141.6133423,7829677.5000000,658.1218872,7.5691376,103.0000000,3954.3627930,3045.9841309,12482.0000000,69.0000000,230.0000000,105.5215912,67.5916748,1.5580988,190230.4375000,1887.6098633,424.9622803,117.4041138,1.4905090,291.7893982,403.4657898,273086176.0000000,3927.3769531,14.0055590,465.0000000,18908.6601562,14808.9667969,92433.0000000,279.0000000,908.0000000,230.4173431,124.1843262,3.1861601,949179.1875000,3699.0927734,775.6289062,192.7210388,1.1471821,416.3263855,644.7922974,1839105024.0000000,12759.5507812,15.3638220,1168.0000000,44441.6523438,32749.1015625,214271.0000000,700.0000000,2283.0000000,557.1151733,329.5343323,3.0488555,2133493.0000000,5611.7006836,1458.7374268,193.7621613,1.1745943,532.0584106,856.5662842,7210845696.0000000,31698.0468750,14.2788639,1843.0000000,70820.6640625,61668.6132812,361456.0000000,1071.0000000,3448.0000000,824.7031250,486.9611206,2.4999094,3865830.2500000,7197.7822266,1906.5787354,166.7962036,1.0664605,615.5040283,990.7659302,22344142848.0000000,66600.7656250,13.4008989,2344.0000000,90937.7812500,91043.3984375,478331.0000000,1290.0000000,4128.0000000,970.5537720,582.6007080,2.2945604,4431366.5000000,7631.6523438,2074.8916016,183.8999176,1.0458987,759.9646606,1098.2069092,79234441216.0000000,129183.9218750,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1267.9061279,763.3338013,2.1536729,5539375.0000000,8738.8583984,2761.3278809,169.7031403,1.0970812,0,1063,,,none,,,,,0.2500000,0.2500000,,6.304424942072639
7,1064,22.0534000,22.3668003,10.0000000,0.0000000,0.7500000,4.0000000,8.8906908,1.0000000,0.0000000,1.0000000,152.9100800,1.6963859,1.6670046,138.0749512,63.1750145,291793.3437500,38.3497887,4.3776178,62.0000000,2414.9013672,1823.1820068,5654.0000000,42.0000000,143.0000000,81.4875946,59.3854637,1.4299270,95978.9453125,1222.1767578,280.6231079,294.3225098,1.2384607,308.9324341,272.6383057,4447813.5000000,65.3012619,10.9045610,354.0000000,14534.3076172,11308.1035156,71682.0000000,221.0000000,725.0000000,202.9422760,105.7200394,2.9881887,754742.8125000,3310.4633789,701.7977295,232.0476837,1.1554967,428.8617859,487.9035645,14242323.0000000,101.9810486,13.6542416,964.0000000,35637.4804688,27187.1601562,179718.0000000,579.0000000,1893.0000000,452.1373291,272.3240356,2.8958592,1786637.5000000,5307.3657227,1416.3475342,193.0421753,1.2546185,544.6120605,685.4831543,19827264.0000000,89.3988037,12.8374987,1659.0000000,64242.3750000,52701.3789062,316542.0000000,948.0000000,3063.0000000,772.3021240,458.0039978,2.4271526,3830804.5000000,7188.6816406,1912.7556152,166.8403168,1.0734916,653.9948730,853.0920410,24464174.0000000,69.9973221,12.8702707,2286.0000000,87773.3750000,85352.0546875,464802.0000000,1271.0000000,4067.0000000,950.1369629,572.1119995,2.1800237,4314092.5000000,7502.0742188,2059.2763672,173.5477753,1.0381578,809.2813110,969.5967407,29041894.0000000,47.3499336,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1270.0426025,769.0756836,2.0507360,5539375.0000000,8738.8583984,2767.5727539,169.7270966,1.0970812,0,1064,,,none,,,,,0.2500000,0.5000000,,8.885165312282416
8,1065,21.3243008,22.0534000,10.0000000,0.0000000,0.7500000,4.0000000,13.8584366,0.9999999,31.1001854,1.0374392,122.1319199,8.4980946,8.4297419,147.8453369,40.3927116,51743.3320312,7.2126536,4.0494213,53.0000000,2091.3557129,1724.9971924,5059.0000000,34.0000000,116.0000000,73.0658188,52.3514481,1.4967469,86443.6953125,1154.9122314,270.2690430,293.8835449,1.2278768,310.9029846,200.6933594,565588.3125000,9.3714924,8.7108469,305.0000000,13008.0332031,9606.6474609,56410.0000000,187.0000000,615.0000000,183.7968292,90.7299500,2.8436298,691423.2500000,3215.8308105,698.8660278,231.2167053,1.1902345,439.7093811,421.2699890,1664078.3750000,11.4582863,12.9036942,879.0000000,33725.4921875,25748.4160156,166292.0000000,529.0000000,1730.0000000,421.5586548,256.0058594,2.7163260,1786637.5000000,5307.3657227,1420.4240723,192.6485901,1.2546185,556.1568604,614.7236328,3011998.2500000,11.1980133,12.3887463,1598.0000000,62690.0234375,50776.8984375,300941.0000000,908.0000000,2940.0000000,761.9431152,451.1283264,2.3277473,3830804.5000000,7188.6816406,1920.7044678,166.6325226,1.0734916,673.7240601,791.0850830,4588433.5000000,11.3475790,12.6901836,2252.0000000,86728.7656250,79756.6718750,458728.0000000,1265.0000000,4048.0000000,950.3186646,571.1058960,2.0955629,4314092.5000000,7502.0742188,2066.3598633,173.3302307,1.0381578,833.4992676,911.3665161,6134613.5000000,10.0018806,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1281.1585693,774.7817993,1.9834508,5539375.0000000,8738.8583984,2775.1594238,169.5752258,1.0970812,0,1065,,,none,,,,,0.2500000,0.5000000,,13.838100855454845
9,1066,21.6161995,21.3243008,10.0000000,0.0000000,0.7500000,5.0000000,11.9991932,1.0000000,9.4261417,1.0031966,30.9440346,4.0172501,4.0446157,118.1901703,70.7408752,345423.3437500,45.8291054,3.9948521,41.0000000,1276.1784668,1335.0598145,6063.0000000,28.0000000,96.0000000,56.8921394,42.2629128,1.3571004,51880.3593750,919.9945068,210.2400208,309.5839844,1.2982478,306.0737000,286.4937134,2285803.2500000,32.3332672,10.5449076,308.0000000,11763.4755859,9564.3291016,73961.0000000,180.0000000,594.0000000,169.9610138,84.6997757,2.3747933,555068.5625000,2839.1013184,591.0637207,124.8248062,1.1555941,421.3501282,472.9618225,4156658.2500000,29.5495243,13.1869574,841.0000000,31518.6953125,24469.9648438,168035.0000000,500.0000000,1635.0000000,401.3457336,248.3918762,2.4118738,1563476.1250000,4897.3969727,1179.0821533,189.8292389,1.2207578,541.5654297,648.3801270,5477293.5000000,23.1452408,12.0966988,1556.0000000,58345.7226562,46209.8945312,291222.0000000,891.0000000,2888.0000000,749.9800415,444.8808594,2.1216767,3455010.5000000,6902.0302734,1922.5379639,166.3970184,1.0972219,667.3776245,825.4296265,7062353.5000000,18.9106178,12.4386797,2223.0000000,85512.7031250,77904.1093750,449728.0000000,1253.0000000,4012.0000000,949.1458130,568.3156128,1.9626769,4306764.0000000,7498.5727539,2067.2592773,173.1068115,1.0389539,836.8850098,953.4707031,8698533.0000000,14.1820984,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1290.6318359,775.0248413,1.8853813,5539375.0000000,8738.8583984,2776.5817871,169.4104462,1.0970812,40003505,1066,,,none,,,,,0.2500000,0.5000000,,11.991086648297337
10,1067,20.7385006,19.5753994,10.0000000,0.0000000,0.7500000,5.0000000,16.1181183,1.0000000,0.0000000,1.0000000,299.4146423,3.0221472,3.1311879,149.7234955,67.2213135,453368.3437500,54.1545792,5.4422569,98.0000000,4154.1650391,2764.1191406,7178.0000000,66.0000000,222.0000000,124.1969681,89.8028641,1.7273641,193555.5937500,1882.5777588,442.3479004,118.8784714,1.4571030,303.1551819,257.4902344,4160768.2500000,71.2422714,11.0881643,422.0000000,18310.0195312,14172.2050781,66053.0000000,258.0000000,839.0000000,271.9242249,177.4300537,2.2796309,905978.2500000,3569.9372559,798.6473999,190.4732819,1.1194212,441.2517395,514.6578369,12838878.0000000,81.5757217,13.9764786,1122.0000000,43785.4648438,32330.8535156,196080.0000000,674.0000000,2199.0000000,569.3928833,357.1674805,2.1117165,2133493.0000000,5611.7006836,1480.9456787,192.5348663,1.1745943,554.1085815,744.1540527,23962548.0000000,83.1050720,14.0126114,1810.0000000,70222.1484375,60444.6601562,354084.0000000,1043.0000000,3358.0000000,842.3026123,511.6952209,1.9947104,3865830.2500000,7197.7822266,1940.5432129,166.2548218,1.0664605,637.7403564,885.6781006,33314538.0000000,81.4418869,13.2833567,2333.0000000,90566.6640625,89994.1562500,477812.0000000,1288.0000000,4122.0000000,995.2730103,611.3845215,1.9010998,4431366.5000000,7631.6523438,2102.0600586,183.1503906,1.0458987,779.5281982,992.8903198,43090312.0000000,70.2544937,10.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1292.0716553,790.4802246,1.8445351,5539375.0000000,8738.8583984,2794.3134766,169.2924194,1.0970812,0,1067,,,none,,,,,0.2500000,0.5000000,,16.076098867967925
