OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,x,y,z,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,767,23.8691006,13.8690996,906.0000000,0.0000000,1.5000000,4.0000000,44.9269791,1.0000000,95.1589279,1.0215101,309.0870361,52.5322151,54.4072151,103.5095444,177.3074493,10639158.0000000,764.7568359,712.1545410,13.0000000,280.4009705,630.7784424,12347.0000000,10.0000000,30.0000000,38.5356407,23.9283905,4.0243473,4535.7670898,302.2825317,84.4558182,226.1696320,1.6031179,317.2971191,476.1116943,102134288.0000000,768.3181763,640.3026123,170.0000000,3237.2573242,3553.9968262,113224.0000000,112.0000000,362.0000000,146.8141174,85.3678131,2.1377330,84336.4375000,1168.6480713,257.4793701,255.9894409,1.2886720,408.2819519,764.3167725,226821632.0000000,866.7561035,831.8754272,738.0000000,22295.0664062,20186.5664062,250833.0000000,457.0000000,1481.0000000,188.8916626,97.7434921,2.4684339,1351553.5000000,4502.3183594,844.1628418,301.9686584,1.1935189,496.2048035,918.4989014,324193088.0000000,937.0289307,971.1124878,1690.0000000,59217.9335938,52442.1523438,358294.0000000,977.0000000,3138.0000000,336.0200195,179.1958618,2.6989136,3221359.7500000,6748.6171875,1409.8934326,124.2923737,1.1250724,547.4769897,973.4682617,369395232.0000000,902.9879150,902.6561890,2200.0000000,83165.9531250,81381.4843750,408325.0000000,1235.0000000,3944.0000000,450.1035767,246.2984467,2.5892265,4099912.2500000,7410.4936523,1545.4645996,122.3654099,1.0658838,781.1018066,1140.2977295,555144256.0000000,905.1077881,906.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,824.3582153,409.4701538,2.4360075,5539375.0000000,8738.8583984,2150.5285645,165.6614990,1.0970812,0,,,,767,,,none,,,,,1.0000000,0.5000000,,43.725199298157300
2,771,23.8691006,13.8690996,1397.0000000,0.0000000,1.5000000,4.0000000,44.6116829,1.0000000,75.9976349,1.0143411,309.0870361,45.2284927,47.1034927,108.4868698,228.2365723,38156060.0000000,2490.3791504,1121.7999268,13.0000000,281.8643494,630.7784424,13743.0000000,10.0000000,31.0000000,44.8479233,30.1372986,2.9340558,4637.2221680,307.4892883,93.8067551,227.5226746,1.6225281,308.5458984,551.5619507,495902208.0000000,3784.6650391,1041.1943359,180.0000000,3395.5708008,3646.9790039,120072.0000000,122.0000000,395.0000000,147.6402283,85.4329758,2.0313175,96077.5234375,1252.9451904,256.3035278,256.2967529,1.3002669,399.5987854,845.3759155,1774739584.0000000,6537.8471680,1324.4141846,793.0000000,23855.8808594,21603.5839844,258643.0000000,488.0000000,1579.0000000,193.5382996,96.5240784,2.6188021,1382628.6250000,4573.7080078,859.6116943,125.7195816,1.2039860,485.4631653,995.3822021,1977509248.0000000,5734.8227539,1517.7645264,1746.0000000,61228.1523438,53844.7812500,362808.0000000,1008.0000000,3236.0000000,344.7736816,182.7526550,2.7010913,3256166.2500000,6753.7451172,1409.6585693,124.2193756,1.1147382,537.4624634,1050.1337891,2049842176.0000000,5008.6557617,1412.0451660,2216.0000000,83624.3671875,83019.3359375,412726.0000000,1242.0000000,3971.0000000,459.3798828,249.7713776,2.5926814,4101543.2500000,7413.7133789,1545.2901611,122.2985611,1.0663860,764.5938721,1215.2719727,2330108928.0000000,3799.0122070,1397.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,824.8095703,408.8240051,2.4431329,5539375.0000000,8738.8583984,2149.1647949,165.6297302,1.0970812,0,,,,771,,,none,,,,,1.0000000,0.5000000,,43.396255398161586
3,774,23.8691006,13.8690996,1.0000000,1.0000000,1.5000000,4.0000000,29.6160431,0.9999999,81.0163574,1.0265677,211.1358337,41.4871521,41.4871521,162.5384827,60.8481750,9836.8330078,0.7404616,0.4810587,48.0000000,1895.1318359,1249.7095947,9838.0000000,41.0000000,133.0000000,99.9685059,67.6636810,1.5339738,99227.5312500,1255.5917969,271.2438354,245.4497375,1.2643138,319.5384216,545.6361694,164919.8281250,1.1453676,1.2907435,615.0000000,22842.2128906,16704.6503906,164591.0000000,401.0000000,1310.0000000,208.4432831,132.1772461,1.7282987,1544063.6250000,4927.2890625,930.9062500,128.4250946,1.2512412,411.0690613,943.8914795,357223.3437500,1.3184187,1.6368413,1707.0000000,61667.4335938,53506.4609375,357086.0000000,1002.0000000,3215.0000000,345.0372314,214.0577850,1.7469240,3256166.2500000,6753.7451172,1441.2591553,125.8754425,1.1147382,453.2198792,1026.4760742,415411.3437500,1.2458302,1.4916636,2219.0000000,83681.3671875,83201.9531250,415412.0000000,1245.0000000,3980.0000000,452.5335083,276.8454590,1.7473090,4101543.2500000,7413.7133789,1575.4536133,123.8504639,1.0663860,530.5893555,1121.3387451,500746.3437500,1.2116396,1.4232820,2407.0000000,93938.6875000,94383.3281250,500967.0000000,1326.0000000,4262.0000000,604.4526978,343.4322205,1.7969434,4596215.0000000,7802.7109375,1575.4536133,123.8504639,1.0540977,639.5150146,1222.2817383,613345.3125000,0.9999989,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,794.2304077,429.7934570,1.8375009,5539375.0000000,8738.8583984,2199.9880371,165.9092102,1.0970812,0,,,,774,,,none,,,,,1.0000000,0.5000000,,27.666495287123794
4,776,23.8691006,13.8690996,1.0000000,1.0000000,1.5000000,4.0000000,29.9092236,1.0000000,101.3798141,1.0367302,211.1358337,49.2333870,49.2333870,170.2350006,120.0552216,20040.3339844,1.0265578,1.0530032,73.0000000,2502.8513184,1654.8807373,20039.0000000,55.0000000,180.0000000,105.3471756,66.1296310,1.6373279,148444.8281250,1546.5994873,313.1262207,353.8334351,1.2822739,311.1697998,561.5612183,158349168.0000000,1117.2540283,1.3739377,688.0000000,25507.1523438,17790.5097656,162766.0000000,445.0000000,1458.0000000,224.0532990,134.5571136,1.8368345,1715035.3750000,5077.6674805,974.6876221,128.0521240,1.1963151,406.7664795,976.2362061,1055443328.0000000,3835.8579102,1.6923288,1795.0000000,63923.6757812,57238.9648438,361455.0000000,1060.0000000,3393.0000000,350.9804077,217.5026398,1.7389802,3300609.2500000,6799.2744141,1443.1706543,125.8604050,1.1146054,454.1971741,1069.3753662,2635927552.0000000,7562.4965820,1.6335927,2248.0000000,84824.6953125,85491.9609375,427459.0000000,1252.0000000,4002.0000000,475.2641296,288.4945679,1.7447751,4122639.0000000,7429.6757812,1577.3773193,123.8391724,1.0655028,529.3558350,1162.1169434,4360043008.0000000,10454.7929688,1.4932024,2431.0000000,94540.8984375,94713.6328125,511607.0000000,1339.0000000,4307.0000000,622.1918945,351.2537537,1.7973232,4601113.5000000,7804.6005859,1577.3773193,123.8391724,1.0534855,626.4281006,1254.3967285,10024911872.0000000,16344.6279297,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,794.6185303,430.0624390,1.8332593,5539375.0000000,8738.8583984,2201.2087402,165.8696442,1.0970812,0,,,,776,,,none,,,,,1.0000000,0.5000000,,27.987282260585101
5,785,13.8690996,13.8690996,1.0000000,0.0000000,1.7500000,4.0000000,31.7503147,1.0000000,181.7114868,1.1907338,196.5169678,93.3895416,93.3895416,148.8516693,206.0327911,33595.3320312,1.6258755,0.7600730,22.0000000,441.0085449,1094.4221191,22420.0000000,15.0000000,50.0000000,100.8671494,88.6326447,1.1520973,7160.5722656,404.8861389,145.7296906,194.3040314,1.8218315,293.3906860,736.6890259,158553792.0000000,1118.1422119,1.1312628,339.0000000,8778.7705078,8232.9150391,183845.0000000,224.0000000,723.0000000,160.9357452,112.5152512,1.5650395,503756.5312500,2860.2307129,656.9321899,181.8892670,1.2923244,370.2878723,977.2265625,1055766464.0000000,3836.7731934,1.1603513,1199.0000000,39688.9179688,34102.0859375,300450.0000000,718.0000000,2312.0000000,230.1105194,135.7186127,1.9482470,2178375.5000000,5587.0908203,1134.9880371,129.8114166,1.1403255,431.6285095,1094.0672607,2636118784.0000000,7562.9023438,1.1631823,2024.0000000,74192.7656250,67817.7500000,378181.0000000,1152.0000000,3683.0000000,361.7896423,217.0718079,1.8874173,3529416.0000000,6863.4321289,1434.3173828,124.9515686,1.0621111,506.1588745,1172.4971924,4360080384.0000000,10454.8027344,1.1478919,2300.0000000,89525.7109375,91024.3750000,448886.0000000,1272.0000000,4069.0000000,505.0990295,293.0899658,1.8845340,4420047.0000000,7626.8164062,1579.9442139,97.4067993,1.0472487,687.7462769,1313.0408936,10024683520.0000000,16344.2548828,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,799.0058594,419.5624695,1.9410384,5539375.0000000,8738.8583984,2179.7011719,165.5633087,1.0970812,0,,,,785,,,none,,,,,1.0000000,0.7500000,,31.750314824751488
6,828,13.8690996,13.8690996,1397.0000000,0.0000000,1.7500000,4.0000000,82.7352066,0.9999999,128.8093872,1.0154746,210.1728516,92.5507584,92.5507584,149.2513885,236.3195496,50447448.0000000,1744.6562500,1111.5323486,26.0000000,458.3342590,1080.1765137,28641.0000000,21.0000000,69.0000000,78.5769272,60.0785484,1.2979285,7417.6005859,413.2403870,97.0854950,191.5975037,1.8320285,282.0401611,789.2850342,1205519616.0000000,7816.3715820,1617.5878906,333.0000000,6811.6142578,7437.8881836,191256.0000000,211.0000000,680.0000000,123.0451431,71.4616623,2.0743415,369101.3750000,2644.8073730,606.1171265,179.4984589,1.5081084,357.6559448,1004.7874756,3393325312.0000000,12462.7773438,1577.7416992,1108.0000000,36203.8046875,31407.6250000,296366.0000000,642.0000000,2070.0000000,187.8515320,92.2653198,2.6120911,2122289.5000000,5536.9604492,1124.7642822,126.9549866,1.1495513,426.9154358,1121.8242188,4452456448.0000000,12990.8486328,1610.1606445,1950.0000000,69759.7031250,63625.5078125,376063.0000000,1118.0000000,3576.0000000,344.4851990,193.8060760,2.4176803,3520442.0000000,6859.1689453,1428.6165771,122.6716614,1.0634962,501.3148804,1194.6928711,5714091008.0000000,13915.3789062,1569.8900146,2280.0000000,86232.4140625,87098.2890625,442874.0000000,1267.0000000,4051.0000000,492.8301697,274.1188965,2.3333573,4164815.2500000,7454.6616211,1565.4749756,120.9096832,1.0618185,696.2617798,1338.0611572,9696384000.0000000,15808.9960938,1397.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,813.5006104,400.7733459,2.3090436,5539375.0000000,8738.8583984,2137.8737793,164.5262146,1.0970812,0,,,,828,,,none,,,,,1.0000000,0.7500000,,82.735209155099312
7,834,18.8691006,13.8690996,1397.0000000,1.0000000,1.5000000,7.0000000,24.5034828,0.9999999,71.3756256,1.0273000,332.3763123,35.9546661,35.9546661,140.0636444,876.8236694,252793664.0000000,3153.5068359,2037.8951416,107.0000000,990.8330078,2017.8100586,96822.0000000,74.0000000,239.0000000,47.8022499,27.9931660,2.2554288,8643.8144531,414.9238892,124.7799072,24.6451435,1.5849719,216.5513000,1310.9689941,3096898560.0000000,16629.7167969,1794.4172363,431.0000000,5362.1191406,9984.0839844,213276.0000000,252.0000000,801.0000000,71.4681549,38.2821732,2.4358985,52119.0156250,932.7258911,229.5047760,62.7224731,1.3283178,285.3232422,1460.0869141,4389917184.0000000,16428.7578125,1498.1511230,896.0000000,20870.7597656,21969.6562500,285224.0000000,512.0000000,1650.0000000,133.6009827,56.7417259,2.5983059,973910.3750000,3790.6694336,738.2329712,25.1301613,1.1740943,352.7668762,1529.8598633,4475253248.0000000,13963.1240234,1384.7457275,1573.0000000,54737.2656250,49996.9375000,335927.0000000,935.0000000,2998.0000000,259.1508789,131.2032166,2.4829400,3207211.5000000,6737.5429688,1423.3048096,120.4317627,1.1263299,428.4016113,1595.4245605,4554551296.0000000,11733.1845703,1317.5224609,2163.0000000,80526.0937500,80427.5078125,392953.0000000,1217.0000000,3886.0000000,405.4726257,212.6245117,2.3870761,3890519.7500000,7192.5898438,1463.3479004,115.9743347,1.0581642,724.8067017,1774.0584717,4862323712.0000000,7927.5380859,1397.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,887.5841064,391.3993225,2.4149449,5539375.0000000,8738.8583984,2096.3205566,163.5109863,1.0970812,0,,,,834,,,none,,,,,1.0000000,0.5000000,,23.816336941154486
8,842,18.8691006,13.8690996,1397.0000000,1.0000000,1.5000000,7.0000000,24.6181087,1.0000000,75.3470917,1.0321057,332.3763123,37.4869499,37.4869499,130.3324280,865.6983643,298026592.0000000,4134.1557617,1700.2200928,86.0000000,836.3623047,1806.9794922,82201.0000000,60.0000000,192.0000000,46.0177994,28.1776199,1.9918061,8518.3085938,407.6849060,126.5846252,25.1519299,1.5526946,218.3272858,1365.3177490,1709879936.0000000,9581.3564453,1816.7131348,419.0000000,4885.4306641,9744.3496094,213530.0000000,248.0000000,785.0000000,69.8732071,38.7112617,2.2144163,34279.5078125,751.4976807,231.6112366,62.6626968,1.3110245,282.6836243,1503.8026123,3176750848.0000000,11729.0566406,1457.7137451,816.0000000,17749.0664062,20015.0722656,280156.0000000,473.0000000,1523.0000000,117.5131683,55.0155449,2.3513787,762390.6250000,3405.7248535,740.0514526,25.2149239,1.2106866,347.6345520,1572.0699463,3451911936.0000000,10114.1777344,1348.7358398,1471.0000000,49645.1210938,45208.0000000,328898.0000000,874.0000000,2802.0000000,212.7875061,119.8733673,2.2586570,2528485.0000000,6019.9326172,1268.3251953,154.8668213,1.1405466,430.3822327,1641.6239014,3539773696.0000000,8753.7402344,1302.5184326,2133.0000000,78774.4531250,77867.5703125,389683.0000000,1200.0000000,3834.0000000,362.0955200,209.3155975,2.1673121,3742634.2500000,7064.7724609,1424.2288818,120.3549118,1.0612290,739.0373535,1819.5567627,3852302336.0000000,6280.7978516,1397.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,825.9514160,391.6610718,2.2183163,5539375.0000000,8738.8583984,2095.6906738,163.4556122,1.0970812,0,,,,842,,,none,,,,,1.0000000,0.5000000,,23.924194614349243
9,853,13.8690996,13.8690996,1397.0000000,0.0000000,1.7500000,4.0000000,13.6731014,0.9999999,0.0011682,1.0000000,205.2971802,5.9824929,5.9824929,102.8993530,1845.0980225,702884736.0000000,12377.6240234,1548.1757812,79.0000000,658.7257080,1459.6176758,66002.0000000,56.0000000,176.0000000,35.4540901,23.6588516,1.5848638,2813.6796875,211.3935547,52.6658592,108.2520676,1.2638600,231.6612701,2292.4697266,3222677248.0000000,18499.2089844,1614.1160889,402.0000000,4702.3706055,9878.4697266,194771.0000000,227.0000000,717.0000000,77.6796570,35.8940926,2.4767869,18069.4707031,566.2299194,185.2770386,21.6805134,1.4119858,313.0282898,2464.1582031,5143572480.0000000,19439.9785156,1459.0206299,813.0000000,18307.6152344,20519.5957031,279465.0000000,467.0000000,1505.0000000,132.3504181,59.3426094,2.5889261,799601.5625000,3549.1599121,768.0061035,24.8932590,1.2536249,363.2480774,2520.8452148,6269075456.0000000,19402.1562500,1306.5175781,1467.0000000,50311.3906250,46417.9335938,319537.0000000,867.0000000,2780.0000000,217.4499512,113.2866364,2.4925060,2513315.7500000,6018.6625977,1247.2448730,154.0025940,1.1469463,454.0181274,2601.1362305,8025064448.0000000,20102.4140625,1299.7264404,2141.0000000,79614.4531250,78326.3984375,389155.0000000,1203.0000000,3843.0000000,385.3037415,217.0344391,2.3418658,3764963.2500000,7090.8066406,1460.0092773,114.8056030,1.0627245,751.9827271,2780.5805664,13620150272.0000000,22206.3085938,1397.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,856.3130493,394.1513062,2.3642683,5539375.0000000,8738.8583984,2071.9670410,163.0287628,1.0970812,0,,,,853,,,none,,,,,1.0000000,0.7500000,,13.673101876160136
10,855,13.8690996,18.8691006,1397.0000000,1.0000000,1.5000000,4.0000000,7.4840240,0.9999999,90.6616745,1.3465326,200.0087128,36.8046379,36.8046379,150.2436829,616.9090576,125550320.0000000,2173.9458008,1781.6630859,105.0000000,1026.7158203,1842.7177734,63179.0000000,74.0000000,232.0000000,34.1718941,22.4449329,1.6137749,3083.2683105,216.2984009,61.5302773,124.4249878,1.2074953,231.8467865,1049.0690918,630380992.0000000,3574.7451172,1507.1374512,340.0000000,3866.1162109,7398.7617188,178390.0000000,189.0000000,595.0000000,56.5751038,33.1234512,1.8385037,13950.4697266,496.4327087,139.0514374,26.5922012,1.4057953,307.0709534,1193.2269287,868825408.0000000,3345.7614746,1287.6468506,590.0000000,8753.6240234,14820.5126953,249073.0000000,326.0000000,1044.0000000,90.6800385,46.8931274,2.0499792,176321.2656250,1678.5251465,447.8228455,4.3863206,1.2715726,368.1032410,1263.8874512,965087872.0000000,3064.7001953,1213.2836914,1095.0000000,31780.8242188,30184.9453125,297136.0000000,615.0000000,1984.0000000,153.1961060,71.0050507,2.1991048,1863480.5000000,5249.7646484,1010.1663818,25.7349262,1.1769146,474.3473511,1341.8682861,1079814272.0000000,2781.0883789,1224.1043701,1900.0000000,65662.6484375,62575.3437500,368484.0000000,1101.0000000,3523.0000000,336.4432068,182.0472870,2.1024461,3300609.2500000,6799.2744141,1426.6237793,119.8460541,1.1146054,822.8750000,1526.8286133,1424041088.0000000,2321.7580566,1397.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,886.9388428,393.1838074,2.2312460,5539375.0000000,8738.8583984,2088.7697754,163.1582336,1.0970812,0,,,,855,,,none,,,,,1.0000000,0.5000000,,2.606306242260025
