OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,70,20.4867992,21.5993996,295.0000000,0.0000000,1.0000000,6.0000000,36.6048737,1.0000000,92.5591431,1.0881464,315.4125977,32.4300804,32.2910042,142.9670258,173.9704742,11782000.0000000,887.6621704,345.5426331,150.0000000,6169.8989258,4506.5371094,18369.0000000,99.0000000,329.0000000,128.0972595,87.0925674,1.6258565,305780.2187500,2209.5510254,477.2151794,126.2894821,1.2705413,282.2754211,391.0853882,282196320.0000000,4163.6835938,423.0363464,577.0000000,23603.1269531,17188.6562500,85552.0000000,367.0000000,1188.0000000,291.5750427,190.9490356,2.3685303,1120869.7500000,3914.6955566,840.4157715,204.2530518,1.0880052,431.7153015,737.9260864,1882201856.0000000,12886.9228516,502.1206665,1415.0000000,52705.8710938,39643.5078125,258392.0000000,820.0000000,2665.0000000,675.3348999,411.1208191,2.4291317,2709697.2500000,6221.4399414,1517.2541504,196.2196503,1.1367140,534.8618164,955.4423828,7337252352.0000000,31929.0078125,475.1467285,2052.0000000,79872.9921875,71044.8750000,411536.0000000,1173.0000000,3763.0000000,852.7504272,532.8931885,2.1403360,4103334.0000000,7314.5903320,1951.0740967,166.9331360,1.0376079,584.9954834,1041.3571777,22537431040.0000000,66971.1250000,401.4064331,2371.0000000,92236.0703125,92974.8125000,485520.0000000,1298.0000000,4152.0000000,958.7185669,604.3806152,2.0567620,4431366.5000000,7631.6523438,2088.0454102,184.8922577,1.0458987,719.4097900,1146.4278564,79509700608.0000000,129632.7109375,295.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1233.5848389,775.1473999,1.9613181,5539375.0000000,8738.8583984,2765.1762695,170.4949188,1.0970812,40004137,70,,,none,,,,,0.2500000,0.7500000,,36.584798659124402
2,689,15.2353001,20.9978008,1.0000000,0.0000000,0.2500000,5.0000000,111.4319992,0.9999999,59.3377113,1.0327351,299.1004028,10.9074755,10.7273979,142.7317963,140.6057587,1158107.8750000,89.4479752,1.1857949,134.0000000,5959.9956055,4861.1352539,18517.0000000,89.0000000,292.0000000,173.5359497,79.2664948,2.5659955,300756.4062500,2125.5637207,429.7874451,128.0080109,1.1954283,273.3107300,302.4398193,3871874.7500000,81.2621307,1.2664373,585.0000000,25062.7792969,17539.0664062,68536.0000000,372.0000000,1204.0000000,402.7667542,279.6275635,1.8391948,1279033.7500000,4371.1044922,1178.6011963,195.0141144,1.1887499,440.6724854,661.4487915,6137025.5000000,36.6649628,1.5471970,1424.0000000,53467.8085938,41139.6445312,247549.0000000,825.0000000,2678.0000000,719.4128418,437.4058838,2.4442024,2812746.0000000,6306.1972656,1544.4415283,198.9619446,1.1251093,549.5548096,914.4241943,10706654.0000000,33.0269623,1.6590319,2109.0000000,81269.3125000,72925.7500000,424040.0000000,1204.0000000,3859.0000000,851.1474609,531.3746948,2.2817268,4103334.0000000,7314.5903320,1919.4451904,168.2558289,1.0376079,589.2772827,986.5365601,15326910.0000000,34.9391136,1.3629704,2375.0000000,92341.5000000,93515.9140625,485967.0000000,1300.0000000,4160.0000000,939.6415405,595.5916138,2.1874990,4431366.5000000,7631.6523438,2071.7863770,186.3317261,1.0458987,719.3330688,1092.5010986,18888430.0000000,30.7957172,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1205.2055664,766.9285889,2.0573118,5539375.0000000,8738.8583984,2736.2531738,171.4626770,1.0970812,0,689,,,no_3,,,,,0.0000000,0.2500000,,110.862514707794958
3,715,19.2478008,19.8917007,294.0000000,0.0000000,0.7500000,4.0000000,36.3299484,0.9999999,4.7631421,1.0008644,299.2091980,7.8059134,7.7455482,114.3988800,329.0533142,13317318.0000000,688.6569214,294.5376282,64.0000000,1661.5880127,1188.8779297,19205.0000000,48.0000000,157.0000000,70.5182571,45.8302727,1.6517742,50881.1953125,1263.3808594,356.1923828,117.7531128,2.4963267,248.4024658,433.4257507,63656088.0000000,1214.2204590,270.8641968,386.0000000,16409.0625000,13525.7246094,52196.0000000,241.0000000,783.0000000,223.7666626,161.4184113,1.6393547,739359.9375000,3329.4357910,763.1665649,197.7575836,1.1930964,434.2891235,689.0973511,326421824.0000000,2135.9235840,361.6607666,1098.0000000,42988.4375000,31796.6523438,181197.0000000,663.0000000,2162.0000000,541.8752441,328.2669067,3.2679200,2122738.0000000,5589.1528320,1446.1579590,196.4275818,1.1710777,561.2679443,939.9399414,864290048.0000000,2751.8544922,412.0202026,1808.0000000,69678.1640625,60209.3398438,354082.0000000,1043.0000000,3358.0000000,773.1046143,460.2955933,2.9649799,3837015.7500000,7191.4077148,1864.2563477,168.4421539,1.0725669,642.8120117,1081.6153564,1439631104.0000000,3347.3347168,390.5208740,2334.0000000,90586.0312500,90303.5000000,477813.0000000,1288.0000000,4122.0000000,917.0350952,561.3302002,2.6112652,4431366.5000000,7631.6523438,2050.4479980,185.6841278,1.0458987,783.2770996,1188.9047852,2045761152.0000000,3335.4111328,294.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1208.1146240,744.8623047,2.3891175,5539375.0000000,8738.8583984,2721.5878906,170.8750153,1.0970812,0,715,,,none,,,,,0.2500000,0.5000000,,36.292859667081714
4,724,20.4867992,22.4206009,294.0000000,0.0000000,0.7500000,4.0000000,47.2709579,1.0000001,167.3932648,1.2759434,272.5010681,40.4308357,40.2495422,161.3362122,79.7955322,2664230.0000000,228.9022064,176.1246948,89.0000000,3164.1174316,2015.3099365,9254.0000000,64.0000000,215.0000000,129.9964752,60.9439583,2.1325762,136037.5156250,1675.1743164,393.6268311,117.6550064,1.6415399,292.2522583,232.9257965,16475174.0000000,288.3465271,284.7068787,414.0000000,18296.4824219,13655.3466797,56230.0000000,261.0000000,848.0000000,273.4353638,158.1729279,3.8830206,946675.0000000,3698.7524414,769.9399414,195.0103149,1.1500051,450.0716858,515.5747681,58548192.0000000,349.2893982,405.1473694,1139.0000000,43961.8710938,32266.7070312,199224.0000000,690.0000000,2252.0000000,582.7436523,332.6612244,4.7212901,2129158.0000000,5591.8852539,1453.3332520,194.9786835,1.1686884,559.8018188,748.6369019,105812512.0000000,355.6945190,417.7031555,1835.0000000,70408.9531250,60518.5273438,360098.0000000,1064.0000000,3425.0000000,813.1701660,473.3309326,3.6894987,3860830.7500000,7195.5107422,1887.6470947,167.5522308,1.0671676,637.4995117,884.3134766,140572864.0000000,342.3880615,391.0122070,2344.0000000,90937.7812500,91043.3984375,478331.0000000,1290.0000000,4128.0000000,952.6091309,570.6932373,3.1797376,4431366.5000000,7631.6523438,2064.1743164,184.7165070,1.0458987,777.4313354,991.6317139,180267280.0000000,293.9079590,294.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1244.7667236,753.1896362,2.8384826,5539375.0000000,8738.8583984,2743.6440430,170.2428131,1.0970812,40004146,724,,,none,,,,,0.2500000,0.5000000,,47.211909561291293
5,986,18.8481007,18.9706993,902.0000000,0.0000000,1.0000000,2.0000000,2.5363169,1.0000000,0.0000000,1.0000000,228.3715363,0.6494040,0.6340792,130.3988647,4680.5239258,43689872.0000000,878.1483154,876.4182739,69.0000000,649.2612915,1206.0979004,49038.0000000,34.0000000,116.0000000,68.6580124,55.0747223,1.2714142,7633.0791016,359.7064819,130.3507996,295.8700256,1.3489221,208.9420776,4825.5366211,81705568.0000000,933.7546997,977.4062500,131.0000000,1427.7167969,2931.4870605,91184.0000000,67.0000000,224.0000000,90.1605682,59.8750420,1.6321610,11016.0468750,397.3374329,138.8419189,264.6637573,1.1404686,253.3342133,4863.4511719,97902328.0000000,874.0329590,856.0055542,255.0000000,6577.4541016,6606.9453125,109140.0000000,140.0000000,467.0000000,116.4435501,58.5149918,2.5811195,245378.9062500,2063.7683105,459.6861267,299.8328552,1.3812579,317.2194519,4887.6958008,113565104.0000000,782.3229980,671.2212524,544.0000000,20779.5527344,16598.0878906,126503.0000000,320.0000000,1039.0000000,203.7670288,99.9469299,2.5275915,1014280.0000000,3842.2143555,801.7555542,207.3104248,1.1582317,577.9090576,4995.1850586,201913296.0000000,753.6381836,610.1094971,1245.0000000,48744.0507812,35299.8984375,224451.0000000,743.0000000,2423.0000000,666.1315308,324.0055847,2.3241563,2639932.0000000,6172.0502930,1443.0841064,196.7552338,1.1483024,1057.9176025,5296.8515625,552695680.0000000,901.1156616,902.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1429.2427979,742.3324585,2.0892675,5539375.0000000,8738.8583984,2715.2404785,171.0039062,1.0970812,0,986,,,none,,,,,0.5000000,0.5000000,,2.533352200441810
6,1051,15.2353001,18.2325993,294.0000000,0.0000000,1.0000000,6.0000000,52.0037270,1.0000000,39.9347458,1.0132344,281.5926819,23.3635941,22.9889317,138.5867767,229.6936646,11223586.0000000,695.7991333,460.3399658,174.0000000,6899.1582031,5781.8706055,23297.0000000,113.0000000,374.0000000,127.1836929,92.7416840,1.5260253,344475.4062500,2294.9907227,479.5525208,278.6658020,1.2167288,282.8161621,455.4739990,387655232.0000000,6820.4238281,493.4023743,693.0000000,28353.6992188,20959.6875000,95021.0000000,432.0000000,1411.0000000,371.9269714,268.8529053,1.5922461,1296695.3750000,4373.5161133,1158.9208984,196.2264862,1.1738528,423.7373047,817.2562256,3262702848.0000000,19637.5078125,505.3895569,1504.0000000,55656.9218750,44142.4335938,273237.0000000,864.0000000,2802.0000000,682.7817993,424.7129517,2.0656705,3004847.7500000,6491.9018555,1542.0957031,201.2976685,1.1161216,530.0903320,1063.1010742,13325107200.0000000,48733.5507812,517.5706177,2192.0000000,83702.7343750,76522.6171875,444209.0000000,1239.0000000,3965.0000000,839.6573486,537.9215088,1.9135811,4298764.0000000,7495.6816406,2007.2642822,176.4142151,1.0400850,560.6820068,1114.8778076,35047084032.0000000,96314.6250000,404.6544495,2382.0000000,93554.4609375,94614.0078125,488848.0000000,1303.0000000,4171.0000000,909.2749023,585.4696045,1.8818136,4602535.5000000,7805.2758789,2111.3044434,194.3389587,1.0533422,689.1747437,1220.3310547,102985867264.0000000,167908.2656250,294.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1169.6442871,751.7002563,1.8164120,5539375.0000000,8738.8583984,2708.2163086,171.7696533,1.0970812,40003548,1051,,,none,,,,,0.0000000,1.0000000,,51.900513621795241
7,1052,18.2325993,19.2478008,294.0000000,0.0000000,0.7500000,5.0000000,8.8385820,1.0000000,0.0000000,1.0000000,199.3404846,1.7524092,1.6572342,112.6638718,786.4555664,41891416.0000000,2182.8774414,407.8015747,115.0000000,4145.6303711,3590.6215820,23105.0000000,77.0000000,254.0000000,83.0552063,63.9624557,1.3424965,217256.9218750,1862.1256104,384.4013672,126.6621933,1.2700899,246.9409180,918.0823975,449717664.0000000,7791.0981445,337.3027649,521.0000000,21654.7128906,15741.4394531,64152.0000000,337.0000000,1088.0000000,247.7294769,184.4279785,1.5038505,1067834.2500000,3869.0844727,818.9137573,208.2434540,1.1155851,432.4189453,1265.9822998,2713446144.0000000,16990.5312500,440.4009399,1361.0000000,51807.6718750,38391.4960938,236029.0000000,798.0000000,2595.0000000,654.9733887,398.9286804,2.4368410,2709697.2500000,6221.4399414,1487.0058594,198.2677155,1.1367140,544.4338379,1506.2402344,7405386240.0000000,25034.7578125,467.6306763,2012.0000000,78307.0312500,68369.5078125,403530.0000000,1153.0000000,3701.0000000,802.2159424,493.6227112,2.2702997,4089083.2500000,7311.1557617,1898.1276855,167.8719330,1.0402465,597.0300903,1599.4436035,13647485952.0000000,33684.6015625,397.9836426,2366.0000000,91806.6562500,92495.4140625,483634.0000000,1297.0000000,4149.0000000,913.4083252,571.3986206,2.1564186,4431366.5000000,7631.6523438,2047.5412598,186.1790771,1.0458987,731.8754272,1705.6928711,24190640128.0000000,39440.4453125,294.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1188.9119873,745.4987183,2.0362563,5539375.0000000,8738.8583984,2714.2324219,171.2198944,1.0970812,0,1052,,,none,,,,,0.2500000,0.5000000,,8.780085305871740
8,1053,20.4867992,18.2325993,294.0000000,0.0000000,0.7500000,5.0000000,44.7294350,1.0000000,33.4230118,1.0256484,124.9049149,14.6535845,14.8649158,140.0650940,252.4860687,21294284.0000000,1346.4664307,428.1813354,165.0000000,7292.5498047,5778.3032227,22334.0000000,107.0000000,353.0000000,117.5998840,75.2432632,1.8614317,351378.1250000,2282.6535645,446.0292053,298.6557007,1.1800365,285.6018982,475.2360229,308020032.0000000,4701.1674805,472.2357788,633.0000000,26343.0175781,18745.5820312,93606.0000000,399.0000000,1296.0000000,346.2048340,233.9028931,2.3393052,1279033.7500000,4371.1044922,1163.1811523,193.9080048,1.1887499,431.7945251,834.1704712,1984431104.0000000,13234.1787109,519.8224487,1472.0000000,53869.7109375,42072.4609375,273509.0000000,849.0000000,2754.0000000,682.8936157,407.2259827,2.9588432,2812746.0000000,6306.1972656,1527.4357910,198.1621704,1.1251093,531.0337524,1053.0385742,7602514432.0000000,32474.7304688,491.8356323,2135.0000000,82008.5859375,73725.8515625,427440.0000000,1216.0000000,3895.0000000,843.5532227,520.1580200,2.4968884,4178429.5000000,7376.4589844,1915.7711182,167.4451447,1.0362700,571.6633301,1123.0806885,22911684608.0000000,67721.8671875,402.8407593,2377.0000000,92365.3437500,93578.1718750,487522.0000000,1300.0000000,4160.0000000,936.2623901,584.5328369,2.3849971,4431366.5000000,7631.6523438,2059.8476562,185.6485291,1.0458987,702.7448120,1228.1561279,80038068224.0000000,130494.1484375,294.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1203.4156494,752.5950928,2.2226331,5539375.0000000,8738.8583984,2731.0024414,170.8994751,1.0970812,0,1053,,,none,,,,,0.2500000,0.5000000,,44.651579418761806
9,1054,19.2478008,20.3062992,294.0000000,0.0000000,0.7500000,5.0000000,17.1544838,1.0000000,0.0000000,1.0000000,218.5287933,3.3157001,3.2164657,101.3475876,576.3162842,54390236.0000000,2783.8273926,372.5137329,101.0000000,3366.4343262,2759.3579102,22044.0000000,73.0000000,241.0000000,69.3728256,52.0684547,1.3848323,157995.4531250,1676.2449951,372.1149902,115.6132507,1.4152088,240.0637054,702.2385254,398678592.0000000,6854.6538086,314.7074280,488.0000000,21032.2675781,15538.6298828,60782.0000000,316.0000000,1021.0000000,241.7034912,176.3066864,1.5828327,1044451.6875000,3854.1418457,797.7785034,208.0315094,1.1317674,432.9586792,1035.3824463,2293515264.0000000,14396.1113281,422.9717102,1305.0000000,50206.1679688,36929.5859375,226135.0000000,774.0000000,2522.0000000,650.2911377,383.2710571,2.6896164,2639932.0000000,6172.0502930,1434.2956543,197.0064240,1.1483024,547.1743164,1275.1241455,6312007168.0000000,21627.1582031,451.4940491,1961.0000000,76543.0312500,67158.7890625,393146.0000000,1131.0000000,3634.0000000,802.5531616,478.4073181,2.4899640,4025596.2500000,7288.7255859,1888.9880371,167.6015930,1.0501785,605.4727173,1378.2459717,11893212160.0000000,29610.4980469,395.8682251,2359.0000000,91600.4843750,91986.1640625,481949.0000000,1295.0000000,4143.0000000,918.9641724,559.3455811,2.3289692,4431366.5000000,7631.6523438,2036.0522461,186.0220337,1.0458987,742.1951294,1485.1160889,21713625088.0000000,35401.9179688,294.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1199.0804443,735.3336182,2.1753213,5539375.0000000,8738.8583984,2704.5764160,171.0427551,1.0970812,0,1054,,,none,,,,,0.2500000,0.5000000,,17.121795951642135
10,1057,20.9978008,22.4206009,1.0000000,0.0000000,0.5000000,4.0000000,34.7869568,1.0000000,46.5350838,1.0636535,241.5432434,10.2541800,10.1652546,152.6016541,114.5359802,1118017.3750000,87.1032791,1.1764753,133.0000000,5888.0058594,4536.4418945,16550.0000000,87.0000000,286.0000000,228.4502411,94.7736435,3.0653458,317399.8437500,2199.2224121,455.7359314,126.5288925,1.2126116,274.4158325,272.2594299,3394557.7500000,69.9953156,1.2008334,531.0000000,22545.4746094,16207.8691406,64623.0000000,345.0000000,1117.0000000,358.0234375,202.1487885,3.5532715,1070543.7500000,3869.5107422,831.3757324,203.3655243,1.1130068,445.3832703,637.4157715,3938504.2500000,21.8423405,1.5953168,1386.0000000,52161.8203125,38662.1445312,246666.0000000,807.0000000,2624.0000000,732.1160278,416.3407288,3.4008620,2709697.2500000,6221.4399414,1510.0605469,195.6873932,1.1367140,548.3618774,866.7004395,4422528.5000000,13.1463118,1.5987773,2031.0000000,79334.8437500,70285.8671875,407476.0000000,1160.0000000,3724.0000000,887.8905029,526.7204590,2.9235201,4103334.0000000,7314.5903320,1951.6671143,166.4696045,1.0376079,598.9041748,956.5845337,4656229.5000000,10.2784262,1.3589309,2369.0000000,92190.7656250,92965.7578125,484956.0000000,1297.0000000,4149.0000000,992.8174438,600.1105347,2.7144058,4431366.5000000,7631.6523438,2083.7363281,184.4748230,1.0458987,731.9069214,1061.7531738,5044043.5000000,8.2238140,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,1264.4110107,770.7543335,2.4847775,5539375.0000000,8738.8583984,2764.7670898,170.1676788,1.0970812,0,1057,,,none,,,,,0.2500000,0.2500000,,34.748752266581128
