OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,x,y,z,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,790,-1.1309000,-1.1309000,123.0000000,0.0000000,1.5000000,2.0000000,36.6709442,1.0000000,104.4907837,1.3255851,149.0883789,52.9356461,52.9356461,115.3476639,52.4968338,489171.0000000,104.3216171,90.6129227,33.0000000,490.1448975,586.8729248,4059.0000000,21.0000000,63.0000000,63.8781891,47.8437424,1.3453987,6165.6772461,324.1085205,80.7561951,261.8270569,1.3557832,326.5343323,340.6970825,12070113.0000000,93.3109741,63.8273315,223.0000000,2335.2443848,5098.6416016,98213.0000000,149.0000000,472.0000000,115.3125153,51.4621544,2.4157391,9328.7392578,394.7036133,108.2170029,350.2738342,1.3289522,414.8837891,624.8354492,28578558.0000000,113.4217148,103.9302216,609.0000000,11256.0595703,14937.4062500,232428.0000000,344.0000000,1104.0000000,160.0517731,58.0591583,3.1309373,415464.0625000,2678.3933105,643.1554565,330.8203125,1.3740590,470.6628723,727.6019897,36945388.0000000,115.4481049,107.9634247,1186.0000000,38646.3671875,35524.2031250,300132.0000000,673.0000000,2165.0000000,220.3722992,84.0212708,3.1106615,2132499.5000000,5540.3872070,1058.7843018,123.5978622,1.1454639,556.1525879,812.6784058,46240312.0000000,116.4704590,109.9945602,2014.0000000,72134.8515625,69293.4687500,376018.0000000,1148.0000000,3671.0000000,403.1049500,197.3777161,2.8338418,3520442.0000000,6859.1689453,1367.2945557,119.8677216,1.0634962,850.5994263,995.9114990,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,906.3825073,397.4940186,2.6657493,5539375.0000000,8738.8583984,2046.3704834,164.3062744,1.0970812,0,,,,790,,,none,,,,,1.0000000,0.5000000,,36.670943290854161
2,794,-1.1309000,-1.1309000,123.0000000,0.0000000,1.5000000,2.0000000,46.3498001,0.9999999,132.4929657,1.4455169,139.4836426,67.0660400,67.0660400,130.2428741,18.6495800,201720.0000000,79.2117844,47.1378593,14.0000000,289.5071106,292.7464905,1722.0000000,12.0000000,36.0000000,80.1706390,55.5414658,1.5507092,4560.6279297,272.7534180,102.7695007,211.9879761,1.2980933,336.3766785,114.1467972,4202787.0000000,72.6873093,22.9635696,100.0000000,908.6593018,1579.0145264,34251.0000000,71.0000000,217.0000000,130.4112244,56.1357002,2.3998513,6165.6772461,324.1085205,110.2676010,224.3024139,1.3557832,469.5622253,433.4063416,23595704.0000000,104.4731522,86.0514145,449.0000000,6000.6445312,10847.1005859,191917.0000000,249.0000000,793.0000000,175.4734344,63.4281158,3.1254201,104814.4453125,1300.1007080,274.5649109,334.0568848,1.2832847,546.1185913,575.6996460,35699952.0000000,113.7853546,104.6401825,972.0000000,25051.2187500,24982.5410156,290325.0000000,555.0000000,1784.0000000,239.7499084,70.7334366,3.9490609,1332631.0000000,4498.3847656,849.5798340,305.4523315,1.2083520,616.0447388,643.0912476,43462356.0000000,113.2017059,103.4605026,1714.0000000,59910.0664062,55735.0195312,353361.0000000,1006.0000000,3223.0000000,390.8293762,159.0665436,3.5932035,3224115.7500000,6749.7949219,1404.5620117,122.1944580,1.1245031,935.8161011,836.7351685,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,945.6860962,396.6756897,3.0698829,5539375.0000000,8738.8583984,2112.1328125,164.7249146,1.0970812,0,,,,794,,,none,,,,,1.0000000,0.5000000,,46.349802437445874
3,856,-1.1309000,-1.1309000,123.0000000,0.0000000,1.5000000,4.0000000,21.0620060,1.0000000,0.0008811,1.0000000,207.0028992,7.8985825,7.8985825,153.8029480,198.7777863,4807209.0000000,613.8007202,113.4106903,62.0000000,657.4588623,1130.0377197,16041.0000000,44.0000000,132.0000000,67.3800888,47.6905670,1.4151922,6165.6772461,324.1085205,93.4620667,36.9921722,1.3557832,304.1835938,656.1110840,131650592.0000000,1056.3935547,107.8460312,343.0000000,3935.0964355,7320.2304688,159130.0000000,205.0000000,650.0000000,109.6761551,44.5104027,2.8666790,14772.2792969,550.9185791,203.7495728,21.6181774,1.6349989,384.3451538,879.4230347,330109664.0000000,1325.1431885,122.0760422,777.0000000,16708.6855469,18572.7792969,269085.0000000,455.0000000,1466.0000000,168.1025391,71.9875946,2.7447453,722165.1250000,3375.9140625,788.3953857,24.3093510,1.2558460,428.5286255,946.6645508,425926048.0000000,1335.6766357,112.9995575,1410.0000000,48392.1796875,44344.6210938,314882.0000000,834.0000000,2673.0000000,247.1171265,120.2883530,2.6415744,2500684.5000000,6018.3339844,1228.0673828,153.4978943,1.1526138,513.2903442,1031.8481445,525969536.0000000,1332.2395020,114.3701630,2132.0000000,78735.9609375,77867.5703125,388978.0000000,1199.0000000,3831.0000000,425.2014160,230.8968658,2.4567339,3742634.2500000,7064.7724609,1408.1711426,118.4372787,1.0612290,792.6148682,1210.3261719,849833600.0000000,1385.5695801,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,895.3116455,401.4668274,2.4674237,5539375.0000000,8738.8583984,2051.3266602,162.8142700,1.0970812,0,,,,856,,,none,,,,,1.0000000,0.5000000,,21.062005110272207
4,2630,3.8691001,-1.1309000,123.0000000,1.0000000,1.5000000,4.0000000,5.0043483,1.0000000,0.0000000,1.0000000,334.4669800,1.8766305,1.8766305,149.3386230,914.9243164,48647976.0000000,1089.6550293,170.3292389,114.0000000,1077.5455322,1972.2064209,75414.0000000,85.0000000,266.0000000,46.7426643,28.7277069,1.6535878,2815.9680176,204.2832184,48.8328705,164.8089600,1.1793095,223.6630249,1336.9918213,573537664.0000000,3889.8320312,140.4747314,362.0000000,4105.9082031,7974.0708008,186396.0000000,202.0000000,638.0000000,68.7939911,39.2617989,1.8034683,15980.1748047,519.4979858,140.7060699,27.3213234,1.3439291,300.2378845,1483.3798828,1232907904.0000000,5059.6401367,117.0268021,630.0000000,10248.1767578,15866.2314453,258424.0000000,350.0000000,1123.0000000,110.7550430,55.5181427,1.9682676,314227.6250000,2248.8969727,593.7023926,334.1233826,1.2808105,351.6096802,1543.6765137,1411701760.0000000,4614.5258789,107.6599731,1159.0000000,36750.9687500,34263.3750000,299093.0000000,653.0000000,2103.0000000,170.0133362,79.9270096,2.0971072,1970075.1250000,5402.1440430,1119.3099365,123.2218704,1.1787988,459.0261230,1626.0833740,1454742656.0000000,3865.2192383,109.0771790,1979.0000000,69902.8359375,67976.1484375,372713.0000000,1138.0000000,3639.0000000,359.1396179,192.4429626,2.0245667,3506191.2500000,6855.7348633,1428.1497803,119.7315750,1.0667498,798.1926880,1811.0697021,1543938816.0000000,2517.2395020,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,900.7030640,395.9924622,2.1954136,5539375.0000000,8738.8583984,2087.9279785,163.0705566,1.0970812,0,,,,2630,,,none,,,,,1.0000000,0.5000000,,0.208569533386994
5,2631,3.8691001,-1.1309000,123.0000000,1.0000000,1.5000000,4.0000000,5.0175796,1.0000000,0.0000000,1.0000000,304.7504272,1.8815923,1.8815923,149.6327820,696.0942993,43973360.0000000,1454.5142822,168.3286133,105.0000000,1148.9378662,1715.1414795,51653.0000000,75.0000000,235.0000000,41.4476929,25.0664177,1.6948318,4435.9008789,268.2960815,68.0597992,155.7672577,1.2913291,238.0704803,1156.2348633,449964512.0000000,3284.9091797,129.2389679,330.0000000,3756.9638672,7159.4970703,173968.0000000,183.0000000,577.0000000,67.0809784,36.4997711,1.9163111,13950.4697266,496.4327087,138.0519714,26.4726143,1.4057953,314.9168701,1304.1848145,719024896.0000000,2977.1064453,112.2823029,582.0000000,8645.6455078,14659.6201172,246732.0000000,319.0000000,1020.0000000,100.8063049,50.3048935,2.0680144,179866.6406250,1688.0583496,447.6921692,4.3576488,1.2607077,377.2166443,1377.7445068,787140672.0000000,2551.6520996,106.8287964,1105.0000000,33185.5585938,31006.6718750,296774.0000000,619.0000000,1996.0000000,162.2245026,74.1436081,2.2082951,1888045.2500000,5252.0654297,1010.1311646,25.7186813,1.1626205,483.2810364,1457.1940918,800972480.0000000,2109.9060059,108.0511246,1907.0000000,65894.3203125,63501.0742188,369431.0000000,1107.0000000,3543.0000000,345.2072144,186.3003998,2.1062438,3300609.2500000,6799.2744141,1426.2216797,119.8421707,1.1146054,825.5404053,1641.8765869,830973952.0000000,1354.8209229,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,885.6994019,395.1307068,2.2261806,5539375.0000000,8738.8583984,2088.4157715,163.1618500,1.0970812,0,,,,2631,,,none,,,,,1.0000000,0.5000000,,0.419647089731887
6,2632,3.8691001,-1.1309000,123.0000000,1.0000000,1.5000000,4.0000000,5.0002389,1.0000000,0.0000000,1.0000000,61.8103447,1.8750896,1.8750896,147.5603333,1226.7307129,59337904.0000000,1275.3522949,253.4833221,181.0000000,1884.7045898,3992.0136719,88044.0000000,124.0000000,399.0000000,49.2160797,30.7830639,1.6458521,9674.7900391,395.4674072,82.9386673,20.2739162,1.2863821,238.3221436,1780.3120117,545607808.0000000,3460.3320312,212.1858978,627.0000000,11666.7949219,14877.4306641,241928.0000000,354.0000000,1137.0000000,95.0376129,48.9537354,1.9475994,450344.4687500,2814.5400391,587.8097534,331.9642029,1.3997812,282.9216003,1910.2972412,1053841792.0000000,4001.7851562,142.7883759,1220.0000000,40154.8476562,36505.8554688,301541.0000000,699.0000000,2248.0000000,154.0735016,78.2559204,2.0551689,2182754.7500000,5588.4125977,1113.5728760,124.3664169,1.1385763,363.5719604,2020.0998535,1232495872.0000000,3738.9440918,142.6088104,2038.0000000,73557.8671875,70813.6093750,376683.0000000,1158.0000000,3703.0000000,333.3480225,190.3918304,1.9750458,3535578.2500000,6875.9428711,1421.0152588,120.6121750,1.0641289,451.1877747,2098.7224121,1273283968.0000000,3196.3088379,140.8204498,2298.0000000,89696.4218750,90746.3125000,448181.0000000,1270.0000000,4063.0000000,502.3532410,278.1380005,1.9602604,4420047.0000000,7626.8164062,1617.6439209,91.8789291,1.0472487,650.8590698,2238.7526855,1379781248.0000000,2249.5969238,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,834.3106079,393.0038147,2.0941768,5539375.0000000,8738.8583984,2097.7094727,163.6412964,1.0970812,0,,,,2632,,,none,,,,,1.0000000,0.5000000,,0.048900101685918
7,2633,3.8691001,-1.1309000,123.0000000,1.0000000,1.5000000,4.0000000,5.0000000,1.0000000,0.0000000,1.0000000,,1.8750000,1.8750000,141.5538940,1017.1643066,52111408.0000000,1683.4494629,147.1997223,136.0000000,1427.0682373,1792.2810059,51060.0000000,105.0000000,334.0000000,39.1220436,25.0238400,1.6114013,11362.8535156,509.7175598,150.9195709,22.7762470,1.8195412,255.0799103,1682.1109619,567899200.0000000,3862.1467285,210.7060547,698.0000000,14994.5712891,17074.6777344,234826.0000000,417.0000000,1342.0000000,101.0398102,49.3351593,2.0249791,590394.9375000,3103.6809082,709.5369263,23.4948158,1.2983794,305.6911621,1843.6789551,1512319616.0000000,5774.5468750,148.7000275,1328.0000000,44236.0820312,41575.4687500,309083.0000000,781.0000000,2505.0000000,174.0461426,89.8419724,2.0772197,2246362.5000000,5668.2524414,1110.8865967,124.2874832,1.1381741,381.9730835,1959.4799805,2566304256.0000000,7563.3271484,150.7131042,2094.0000000,76565.1562500,75610.1562500,387569.0000000,1184.0000000,3785.0000000,364.2962036,207.0718384,1.9908817,3568395.5000000,6892.4838867,1418.4349365,120.5433884,1.0594213,465.9157410,2039.1339111,3883919360.0000000,9467.8613281,147.8507233,2318.0000000,90243.2656250,91561.9609375,460154.0000000,1277.0000000,4086.0000000,526.0988159,288.1269531,1.9814886,4420047.0000000,7626.8164062,1616.2012939,91.7819977,1.0472487,643.3217773,2170.7548828,8364468224.0000000,13637.4384766,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,834.6263428,392.5001831,2.1089523,5539375.0000000,8738.8583984,2094.6604004,163.6554260,1.0970812,0,,,,2633,,,none,,,,,1.0000000,0.5000000,,0.000000000000000
8,2816,-1.1309000,-1.1309000,123.0000000,0.0000000,1.5000000,2.0000000,4.6941733,1.0000000,0.0000000,1.0000000,203.6598511,1.7603149,1.7603149,126.0424423,233.1273041,322752.0000000,87.4418106,59.3381691,22.0000000,325.5147400,160.2535248,2706.0000000,14.0000000,42.0000000,62.0029449,41.6700935,1.4877459,4298.2656250,276.3910828,88.7611313,349.4116821,1.4143111,326.9466858,369.1926270,5901048.0000000,76.9594345,31.3386116,127.0000000,1189.4742432,2046.4045410,48058.0000000,94.0000000,291.0000000,128.0387573,64.8511658,2.0370929,6921.0327148,331.9107971,106.5196152,1.1909326,1.2666656,449.6050110,704.2810669,25709336.0000000,108.2790298,93.6545258,496.0000000,6764.0224609,11639.8437500,209101.0000000,278.0000000,889.0000000,176.7188721,63.8710289,3.1811228,124557.2812500,1384.0050049,359.6525574,343.7242432,1.2237602,517.7348633,827.2943115,36062864.0000000,114.2783279,105.6254425,1047.0000000,28364.5253906,27786.8710938,293276.0000000,593.0000000,1914.0000000,239.2976227,89.5711136,3.0619376,1620363.3750000,5034.5156250,1052.5539551,22.8760166,1.2447815,597.3825073,904.1434326,44796908.0000000,114.7357178,106.5268173,1836.0000000,63683.1875000,60092.0351562,364284.0000000,1069.0000000,3420.0000000,408.6766663,200.5425415,2.7926869,3256166.2500000,6753.7451172,1371.7058105,118.2853088,1.1147382,906.2293091,1090.9277344,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,944.7342529,405.3503723,2.6706779,5539375.0000000,8738.8583984,2022.8446045,163.4630737,1.0970812,0,,,,2816,,,none,,,,,1.0000000,0.5000000,,4.694173261829003
9,2817,-1.1309000,-1.1309000,123.0000000,0.0000000,1.5000000,2.0000000,7.3669968,1.0000000,0.0000000,1.0000000,127.3096313,2.7626238,2.7626238,118.9927063,152.6811829,262236.0000000,85.7122421,57.5355949,18.0000000,321.8213501,160.2535248,2214.0000000,13.0000000,39.0000000,45.9544678,30.8542824,1.5484689,5144.1020508,289.4789734,73.1953659,350.2026367,1.2963271,333.1941833,249.3383331,4323204.0000000,72.9571609,23.4869061,101.0000000,916.7245483,1616.5920410,35230.0000000,73.0000000,223.0000000,105.4977112,57.4953156,1.8556820,6165.6772461,324.1085205,94.8834610,3.6625028,1.3557832,466.2518921,568.7080078,23631006.0000000,104.5439148,86.1927795,450.0000000,6022.3808594,10847.1005859,192204.0000000,252.0000000,803.0000000,151.3995514,50.3239174,3.5285108,104814.4453125,1300.1007080,347.2402649,343.7875366,1.2832847,543.1461792,711.7735596,35771968.0000000,113.8936234,104.8566132,984.0000000,25320.9062500,25041.9316406,290800.0000000,559.0000000,1797.0000000,216.4179688,78.8007965,3.2814553,1338909.8750000,4502.6386719,884.8903809,310.8948059,1.2049611,614.3864746,780.3581543,43653624.0000000,113.4158707,103.8885803,1730.0000000,60403.7851562,56021.3281250,354917.0000000,1011.0000000,3238.0000000,369.5163574,180.1821899,2.9908180,3224115.7500000,6749.7949219,1380.7152100,118.6411514,1.1245031,932.5449829,972.9108887,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,921.6963501,401.0061340,2.7477722,5539375.0000000,8738.8583984,2035.2589111,163.4538727,1.0970812,0,,,,2817,,,none,,,,,1.0000000,0.5000000,,7.366996969105325
10,2818,-1.1309000,-1.1309000,123.0000000,0.0000000,1.5000000,2.0000000,10.9079657,1.0000000,0.0000000,1.0000000,110.0741196,4.0904870,4.0904870,143.6830902,135.8692474,706389.0000000,94.9835587,70.4301224,37.0000000,463.4245911,726.7298584,5825.0000000,24.0000000,72.0000000,50.0118141,32.6720772,1.5573213,5273.0024414,292.7296753,69.8365707,45.3487358,1.2931999,326.4357300,515.0405884,15872658.0000000,104.0100174,85.1762543,272.0000000,3028.6674805,5938.4506836,129128.0000000,170.0000000,541.0000000,97.6837006,35.8613434,3.0603831,14056.6464844,542.5026855,193.4636841,22.9402847,1.6661427,404.4875183,753.7144775,30122454.0000000,116.5306244,110.1437073,661.0000000,13352.7841797,16752.9726562,244649.0000000,373.0000000,1197.0000000,144.4779358,58.2616043,2.9296880,489905.2187500,2852.5927734,620.4890137,16.6335964,1.3217753,454.6734009,842.7053833,37302704.0000000,115.8720703,108.8106384,1253.0000000,41082.6914062,37509.9960938,303356.0000000,727.0000000,2336.0000000,209.3961945,93.6371002,2.8103898,2185626.7500000,5590.2690430,1103.7303467,122.1170349,1.1378357,539.5189819,927.4564209,46478872.0000000,116.8040466,110.6614380,2053.0000000,74741.1953125,71974.6250000,378077.0000000,1163.0000000,3720.0000000,388.3107300,208.1317902,2.5805700,3535578.2500000,6875.9428711,1413.8642578,118.8317642,1.0641289,832.2500610,1111.1126709,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,890.2722778,398.7987061,2.5242538,5539375.0000000,8738.8583984,2062.1821289,162.8976135,1.0970812,0,,,,2818,,,none,,,,,1.0000000,0.5000000,,10.907965350768523
