OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,x,y,z,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,788,3.8691001,3.8691001,123.0000000,0.0000000,1.5000000,3.0000000,40.6522102,1.0000001,106.5071564,1.3328954,149.7027740,55.1847610,55.1847610,148.1636810,62.2600403,832464.0000000,99.2839432,78.5126953,37.0000000,530.8546143,775.6697998,6850.0000000,24.0000000,73.0000000,72.6436844,53.6876640,1.3599148,6081.3637695,318.1673279,78.4984055,347.1995850,1.3246474,323.3183594,450.0181580,16268103.0000000,104.0144958,85.1814117,281.0000000,3081.6684570,6088.1928711,132343.0000000,175.0000000,556.0000000,116.0773544,48.1667137,2.6155252,14364.7900391,548.4274292,181.0870056,7.1804528,1.6662079,406.8110352,709.0353394,31786890.0000000,119.8950119,116.8680573,732.0000000,15309.0253906,17772.9707031,258512.0000000,426.0000000,1372.0000000,168.5463562,61.5333862,3.1852791,590394.9375000,3103.6809082,734.0350952,19.6699581,1.2983794,450.4134216,784.7886353,38009520.0000000,116.8806152,110.8264999,1331.0000000,44245.9531250,41575.4687500,309086.0000000,781.0000000,2505.0000000,236.2952728,97.9752502,3.1059496,2246362.5000000,5668.2524414,1071.9591064,19.6275845,1.1381741,537.8121948,874.1375732,47661208.0000000,118.3868103,113.8256683,2095.0000000,76584.9609375,75610.1562500,387570.0000000,1184.0000000,3785.0000000,426.7515564,213.8562622,2.8308432,3568395.5000000,6892.4838867,1367.1424561,119.8446045,1.0594213,815.2786255,1051.6695557,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,897.3745728,396.6940613,2.6771605,5539375.0000000,8738.8583984,2045.8753662,164.2983246,1.0970812,0,,,,788,,,none,,,,,1.0000000,0.5000000,,40.652205667520207
2,795,3.8691001,3.8691001,123.0000000,0.0000000,1.5000000,2.0000000,37.9118576,0.9999999,80.7907944,1.2813377,147.4257355,44.5134964,44.5134964,125.2547607,28.3388367,277365.0000000,84.6409760,54.9135246,19.0000000,389.5237427,318.9200439,2337.0000000,11.0000000,34.0000000,90.3816071,62.8238869,1.5574553,6021.9458008,318.1092224,110.2685471,223.9913940,1.3372291,325.5310059,135.3809814,4676952.0000000,73.2947617,24.1188889,105.0000000,991.8465576,1642.1882324,38106.0000000,77.0000000,240.0000000,127.9340820,54.8351173,2.3861399,6834.0175781,327.6060791,110.2685471,223.9913940,1.2497350,459.2419128,482.1972656,25318258.0000000,107.3694229,91.8368073,494.0000000,7012.0205078,11734.2607422,205921.0000000,279.0000000,892.0000000,178.1612701,62.7552795,3.2333713,167098.6093750,1636.7520752,409.0143433,357.7067261,1.2758014,524.9465942,611.5738525,36085496.0000000,114.2780991,105.6249390,1060.0000000,28936.2304688,27847.3378906,293460.0000000,599.0000000,1933.0000000,238.5135345,71.8893204,3.9887433,1648068.5000000,5068.3774414,954.7257690,23.9768753,1.2403743,602.1797485,688.9262695,44841496.0000000,114.8120575,106.6794510,1861.0000000,64499.0820312,60447.5273438,364529.0000000,1081.0000000,3461.0000000,405.7182922,171.1455994,3.5808775,3256166.2500000,6753.7451172,1402.4898682,122.2039642,1.1147382,906.5324707,876.3076172,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,937.9271240,395.7803040,3.0895040,5539375.0000000,8738.8583984,2110.7636719,164.7676849,1.0970812,0,,,,795,,,none,,,,,1.0000000,0.5000000,,37.911860186295556
3,852,3.8691001,3.8691001,123.0000000,0.0000000,1.5000000,4.0000000,21.0946770,1.0000000,0.0039731,1.0000000,201.1832428,7.9119940,7.9119940,150.8613281,219.3134003,5757753.0000000,509.8899841,103.9656677,67.0000000,685.9207153,1318.4781494,19267.0000000,52.0000000,160.0000000,67.2248154,49.1707420,1.3721699,6081.3637695,318.1673279,93.2459183,20.1331768,1.3246474,293.9540100,728.1129761,124167888.0000000,825.8963623,121.8329697,390.0000000,4678.3803711,9352.8867188,173543.0000000,229.0000000,726.0000000,110.1144943,43.2450447,3.1152709,42290.8789062,844.0979004,268.0842896,350.3952942,1.3406922,374.6405029,952.5997925,253311920.0000000,972.5595703,131.9017944,889.0000000,20346.3828125,21700.8984375,284439.0000000,509.0000000,1642.0000000,175.8217316,74.1835098,2.8890643,973910.3750000,3790.6694336,788.2976685,24.0741291,1.1740943,427.1987915,1020.6457520,299332384.0000000,928.6614380,120.9811630,1570.0000000,54904.9921875,50204.2929688,333753.0000000,935.0000000,2998.0000000,287.8475952,148.4259033,2.7082448,3207211.5000000,6737.5429688,1404.9564209,118.4513779,1.1263299,494.0403748,1088.6627197,361487104.0000000,910.3289185,115.8701553,2162.0000000,80776.3437500,80484.6171875,392786.0000000,1217.0000000,3886.0000000,428.0164795,233.6748047,2.5554242,3912425.2500000,7202.6191406,1471.0396729,93.8121109,1.0551763,766.4795532,1267.6707764,560533120.0000000,913.8938599,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,889.3906250,400.2509155,2.5312066,5539375.0000000,8738.8583984,2049.2719727,162.8841400,1.0970812,0,,,,852,,,none,,,,,1.0000000,0.5000000,,21.094676894703241
4,2634,8.8690996,3.8691001,123.0000000,1.0000000,1.5000000,4.0000000,4.9999995,1.0000000,0.0000000,1.0000000,,1.8749998,1.8749998,144.4743958,1150.1693115,76562456.0000000,2287.6701660,158.7922668,140.0000000,1477.1738281,2687.1479492,55273.0000000,108.0000000,345.0000000,35.4309578,22.1130486,1.6639074,11362.8535156,509.7175598,151.0476990,22.7762470,1.8195412,253.4119110,1798.1571045,722092928.0000000,4751.7929688,210.9086761,703.0000000,15233.9082031,17170.0957031,234831.0000000,421.0000000,1357.0000000,96.4403152,47.2769051,2.0314901,593373.8750000,3118.3510742,709.5642090,23.4948158,1.3041024,304.0405273,1960.4895020,1902701312.0000000,7178.0014648,148.7830200,1337.0000000,44471.8593750,41765.0312500,309151.0000000,787.0000000,2523.0000000,169.5167389,88.1322174,2.0784295,2246362.5000000,5668.2524414,1110.9039307,124.2874832,1.1381741,380.2316589,2076.5078125,3294194432.0000000,9659.7519531,150.7166290,2100.0000000,77115.7343750,76685.9218750,387575.0000000,1184.0000000,3785.0000000,359.5584106,205.6230621,1.9903492,3625805.0000000,6946.0322266,1418.4484863,120.5433884,1.0589106,464.9646606,2157.0253906,5126508032.0000000,12446.5693359,147.8507233,2320.0000000,91081.4609375,92247.2343750,460859.0000000,1277.0000000,4086.0000000,522.6116943,287.4555359,1.9801139,4591215.5000000,7800.4394531,1616.2132568,91.7819977,1.0546311,641.5270996,2288.1545410,11275254784.0000000,18383.1894531,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,829.7830811,391.5145569,2.1062140,5539375.0000000,8738.8583984,2094.6696777,163.6554260,1.0970812,0,,,,2634,,,none,,,,,1.0000000,0.5000000,,0.000000000000000
5,2635,8.8690996,3.8691001,123.0000000,1.0000000,1.5000000,4.0000000,5.0003071,1.0000000,0.0000000,1.0000000,232.8408356,1.8751152,1.8751152,146.9684753,1362.4426270,106703728.0000000,2441.7858887,254.7747955,185.0000000,1905.5179443,4087.3984375,90982.0000000,129.0000000,414.0000000,44.8646431,28.2501736,1.6649448,9693.0556641,395.6557312,83.1665421,20.2748051,1.2851812,237.8380890,1913.1126709,1056988096.0000000,6659.6855469,215.8455200,632.0000000,11737.9521484,14965.2275391,244722.0000000,360.0000000,1155.0000000,91.3123169,47.2920570,1.9473511,459660.8437500,2820.2180176,587.8383179,331.9639282,1.3769494,280.9060364,2037.3588867,2003012992.0000000,7558.0170898,142.7963867,1235.0000000,40488.8164062,36711.3007812,301875.0000000,708.0000000,2277.0000000,150.3723297,77.0844879,2.0457344,2182754.7500000,5588.4125977,1113.5927734,124.3666534,1.1385763,362.3245239,2148.2382812,2304816640.0000000,6977.0698242,142.6136475,2045.0000000,73657.3046875,70993.5781250,377669.0000000,1160.0000000,3709.0000000,329.7669373,189.7671204,1.9646018,3535578.2500000,6875.9428711,1421.0310059,120.6123657,1.0641289,448.7883301,2225.8408203,2377748480.0000000,5959.2934570,140.8204498,2299.0000000,90032.7187500,91133.0546875,448182.0000000,1271.0000000,4066.0000000,497.4972534,276.8927917,1.9513177,4420047.0000000,7626.8164062,1617.6555176,91.8791199,1.0472487,648.4394531,2366.1669922,2570146048.0000000,4190.3691406,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,829.4118652,392.0448914,2.0858893,5539375.0000000,8738.8583984,2097.7236328,163.6413574,1.0970812,0,,,,2635,,,none,,,,,1.0000000,0.5000000,,0.055460705729391
6,2636,8.8690996,3.8691001,123.0000000,1.0000000,1.5000000,4.0000000,5.0083847,1.0000000,0.0000000,1.0000000,100.0996399,1.8781443,1.8781443,149.9535370,1005.2420044,80960080.0000000,1677.7587891,180.6268158,116.0000000,1073.1739502,1992.2933350,82488.0000000,86.0000000,269.0000000,43.7906303,27.3649044,1.6607198,3569.2172852,225.4445038,60.8095512,121.4996185,1.1331736,223.6107178,1408.3953857,814601792.0000000,5319.6469727,144.4451752,369.0000000,4170.9340820,8187.8652344,190481.0000000,204.0000000,644.0000000,65.8569183,38.2940521,1.8016044,16073.8193359,519.6367798,140.9492645,27.3437958,1.3368134,296.9809570,1546.9913330,1642479232.0000000,6653.7587891,117.3443069,637.0000000,10923.0839844,16070.9335938,259090.0000000,356.0000000,1142.0000000,107.0661850,53.8937531,1.9751302,403516.1250000,2667.9782715,593.7542114,334.1347656,1.4037631,349.5820312,1608.2940674,1834549760.0000000,5977.7358398,107.8759537,1177.0000000,38033.1523438,34872.7031250,300466.0000000,660.0000000,2125.0000000,168.7124634,80.4264984,2.0962081,2132499.5000000,5540.3872070,1119.3712158,123.2161942,1.1454639,458.9759521,1692.2197266,1895837824.0000000,5018.8544922,109.8802719,1993.0000000,71264.7187500,68780.7734375,375541.0000000,1139.0000000,3642.0000000,364.3063965,196.1962433,2.0232193,3520442.0000000,6859.1689453,1428.2139893,119.7272415,1.0634962,793.9353638,1875.0180664,2043881600.0000000,3332.3469238,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,895.8825073,395.1043701,2.1926167,5539375.0000000,8738.8583984,2087.8999023,163.0674438,1.0970812,0,,,,2636,,,none,,,,,1.0000000,0.5000000,,0.289688937241408
7,2637,8.8690996,3.8691001,123.0000000,1.0000000,1.5000000,4.0000000,5.0196147,1.0000000,0.0000000,1.0000000,153.3135681,1.8823555,1.8823555,151.1235046,825.0926514,67766232.0000000,1987.8010254,176.2622833,111.0000000,1153.0874023,1698.9981689,59219.0000000,78.0000000,245.0000000,38.5884285,23.1293144,1.7364435,3384.2282715,235.1130371,59.9731941,163.3322144,1.2998221,235.1894226,1263.7495117,605245760.0000000,4197.6577148,131.6194305,336.0000000,3831.3608398,7301.3574219,176650.0000000,186.0000000,586.0000000,62.6342888,34.6713638,1.9035898,13950.4697266,496.4327087,138.0894470,26.4600525,1.4057953,309.9392395,1406.7065430,905394688.0000000,3686.5878906,112.4011688,583.0000000,8621.0888672,14659.6201172,246893.0000000,320.0000000,1024.0000000,95.1675339,48.1057777,2.0537124,176321.2656250,1678.5251465,447.6516418,4.3491139,1.2715726,371.7745361,1478.5129395,973746368.0000000,3148.9648438,106.4884796,1087.0000000,30771.0175781,29205.7500000,295747.0000000,613.0000000,1977.0000000,157.4835358,70.7745285,2.2181051,1799208.5000000,5192.5395508,1010.0480347,25.7168884,1.1925271,479.4283752,1557.6594238,987577856.0000000,2595.8244629,107.7758102,1891.0000000,65366.4531250,62387.2421875,368270.0000000,1099.0000000,3517.0000000,339.1654663,183.1654816,2.1120462,3300609.2500000,6799.2744141,1426.2110596,119.8463669,1.1146054,826.6102295,1742.6484375,1017709312.0000000,1659.2744141,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,876.8605957,394.1689758,2.2195067,5539375.0000000,8738.8583984,2088.4790039,163.1643829,1.0970812,0,,,,2637,,,none,,,,,1.0000000,0.5000000,,0.443323831507392
8,2791,3.8691001,3.8691001,123.0000000,0.0000000,1.5000000,2.0000000,7.8522782,1.0000000,0.0000000,1.0000000,294.2909851,2.9446044,2.9446044,119.7264633,145.8329926,277365.0000000,84.6409760,54.9135246,19.0000000,389.5237427,318.9200439,2337.0000000,11.0000000,34.0000000,54.0102615,39.8355484,1.4220484,6021.9458008,318.1092224,92.4399796,4.3345861,1.3372291,327.7350464,270.3593750,5392197.0000000,75.0479813,27.5552464,114.0000000,1049.2166748,1710.9824219,43921.0000000,82.0000000,257.0000000,102.5617447,52.9865913,2.0019135,6834.0175781,327.6060791,92.4399796,4.3345861,1.2497350,451.7507019,610.4649658,25455588.0000000,107.6653366,92.4281082,511.0000000,7521.8466797,12632.6445312,207038.0000000,288.0000000,921.0000000,151.0392151,50.9647217,3.6398897,176321.2656250,1678.5251465,491.4531555,0.8265501,1.2715726,517.4646606,740.2870483,36257696.0000000,114.6141052,106.2967987,1078.0000000,30595.2968750,28563.4023438,294114.0000000,612.0000000,1974.0000000,212.5973816,79.0642166,3.3889208,1799208.5000000,5192.5395508,1039.9084473,23.3056107,1.1925271,596.8877563,819.9594116,45142844.0000000,115.1739502,107.4028702,1882.0000000,65069.0000000,61957.6953125,367012.0000000,1096.0000000,3507.0000000,382.2130737,191.9265594,3.0426800,3300609.2500000,6799.2744141,1380.7196045,118.7787170,1.1146054,898.6892090,1005.9450073,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,910.0231323,399.1024475,2.7954695,5539375.0000000,8738.8583984,2037.5968018,163.5200958,1.0970812,0,,,,2791,,,none,,,,,1.0000000,0.5000000,,7.852278169000106
9,2792,3.8691001,3.8691001,123.0000000,0.0000000,1.5000000,2.0000000,13.0465622,1.0000000,0.0000000,1.0000000,111.1832428,4.8924608,4.8924608,161.3848877,134.1185150,1049682.0000000,91.6858902,62.7130051,41.0000000,507.8826294,875.4450073,8616.0000000,29.0000000,88.0000000,59.6006279,37.8565826,1.5969296,5296.5742188,289.8547668,71.2516861,44.9552422,1.2622808,320.1383972,554.8707886,17659480.0000000,108.4705429,94.0814972,301.0000000,3356.8398438,6545.9257812,143655.0000000,183.0000000,581.0000000,99.7100601,35.1350327,3.3707726,14364.7900391,548.4274292,193.3559418,22.6156025,1.6662079,398.0251770,790.4042358,31799990.0000000,119.9216232,116.9212494,739.0000000,15576.3349609,17838.5781250,258618.0000000,431.0000000,1388.0000000,152.2610931,60.4171829,3.1631627,593373.8750000,3118.3510742,751.9393311,23.4129963,1.3041024,442.6583557,866.4444580,38040764.0000000,116.9553223,110.9758759,1343.0000000,44638.7304688,41890.4921875,309196.0000000,794.0000000,2544.0000000,221.4258881,101.7022934,2.9998345,2246362.5000000,5668.2524414,1102.6784668,122.1336136,1.1381741,531.2725830,956.1757812,47690852.0000000,118.4431458,113.9383087,2103.0000000,77544.2187500,76921.5859375,387813.0000000,1185.0000000,3788.0000000,413.4682922,222.0360413,2.7294676,3711801.0000000,7053.3476562,1412.7944336,118.8422241,1.0665864,809.9661255,1133.8482666,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,885.4057617,397.5858765,2.6269202,5539375.0000000,8738.8583984,2061.5927734,162.9235382,1.0970812,0,,,,2792,,,none,,,,,1.0000000,0.5000000,,13.046562473276690
10,2793,3.8691001,3.8691001,123.0000000,0.0000000,1.5000000,5.0000000,23.2913723,1.0000000,0.0000000,1.0000000,304.0989685,8.7342644,8.7342644,151.9882355,124.0920410,4040919.0000000,543.5800171,86.5190048,47.0000000,588.2089233,955.3133545,10379.0000000,31.0000000,94.0000000,46.5759048,29.8714600,1.5561435,6081.3637695,318.1673279,63.5015373,159.0674591,1.3246474,313.9495239,553.8395386,129071032.0000000,1151.5783691,96.6409607,324.0000000,3660.3303223,7057.1196289,146784.0000000,198.0000000,629.0000000,87.9849548,29.6360340,3.2106762,15006.8173828,558.1662598,170.6371918,14.5593977,1.6520709,396.7995911,803.3882446,384520320.0000000,1537.7022705,122.3132172,776.0000000,16979.0039062,18463.2968750,268840.0000000,456.0000000,1471.0000000,144.0935059,51.9475670,3.1631234,759975.9375000,3450.4506836,751.5229492,23.3494148,1.2466426,440.4211731,872.4960327,517259968.0000000,1610.6389160,113.6515732,1420.0000000,48856.7421875,44651.3437500,315969.0000000,839.0000000,2689.0000000,224.5000763,100.2159805,3.0283360,2500684.5000000,6018.3339844,1242.2257080,155.1873322,1.1526138,521.6536865,956.4545898,653850752.0000000,1646.8906250,114.3715363,2132.0000000,78735.9609375,77867.5703125,388978.0000000,1199.0000000,3831.0000000,398.0091858,208.0835876,2.7767463,3742634.2500000,7064.7724609,1398.7916260,119.9856873,1.0612290,797.4188232,1135.1298828,1095560320.0000000,1786.2026367,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,865.4564819,391.1247559,2.6295781,5539375.0000000,8738.8583984,2070.9699707,163.7532043,1.0970812,0,,,,2793,,,none,,,,,1.0000000,0.5000000,,23.291372670127142
