OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,778,28.8691006,29.9011993,1.0000000,0.0000000,0.5000000,5.0000000,43.4626579,1.0000000,10.3463678,1.0014592,251.5559845,6.7906342,6.7261281,122.2716827,393.1204834,41638080.0000000,2487.3198242,1.2935737,75.0000000,736.9925537,2068.5637207,23484.0000000,46.0000000,145.0000000,64.4019318,46.1555138,1.3966719,12594.5927734,499.9766235,154.1743011,6.5266576,1.5794482,299.0979614,885.2089844,386789088.0000000,2785.1875000,1.2127517,517.0000000,11693.2109375,12882.5097656,179452.0000000,328.0000000,1060.0000000,148.1694641,55.5787964,2.8964555,553114.3750000,3065.5278320,707.4680786,20.1590538,1.3520281,371.5016785,1160.4813232,915384256.0000000,3310.2194824,1.1974361,1296.0000000,42483.0156250,38966.3828125,308034.0000000,764.0000000,2452.0000000,240.3336029,89.8054810,3.3975708,2234668.5000000,5655.8730469,1070.9941406,125.0335617,1.1391380,434.3830261,1277.4572754,1162177152.0000000,3324.8408203,1.2205782,2084.0000000,76692.6250000,73487.3203125,386991.0000000,1179.0000000,3770.0000000,424.4479370,203.1814728,3.0697041,3711801.0000000,7053.3476562,1377.5844727,121.0123749,1.0665864,511.6643982,1359.4195557,1375590400.0000000,3300.4787598,1.2020297,2320.0000000,90549.7421875,91983.6093750,461560.0000000,1277.0000000,4086.0000000,586.9182129,286.7775269,2.8955176,4591215.5000000,7800.4394531,1574.9565430,91.4201355,1.0546311,675.6966553,1490.0135498,1916705152.0000000,3124.9982910,1.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,888.1520386,392.6798096,2.8028610,5539375.0000000,8738.8583984,2072.8088379,164.6615295,1.0970812,778,,,none,,,,,0.0000000,0.5000000,,43.449046602836361
2,787,29.9011993,29.9011993,287.0000000,0.0000000,1.5000000,6.0000000,38.1559906,1.0000000,99.1629257,1.1774158,337.8779297,51.4945908,51.4945908,122.8226242,135.0784149,14932227.0000000,1580.9422607,225.4542236,36.0000000,377.6098328,913.7343140,11098.0000000,23.0000000,75.0000000,47.4861794,31.6828957,1.4913886,3252.7668457,246.0843964,72.3866501,34.9370499,1.4815127,293.2573853,353.8718567,152436944.0000000,1997.3039551,144.4633026,243.0000000,3001.4670410,5386.7226562,78578.0000000,146.0000000,471.0000000,103.0313950,53.8544807,2.0223558,50376.3437500,923.6560059,284.5495300,340.3976440,1.3476714,440.1142273,759.1908569,714484224.0000000,2846.5554199,297.8839417,831.0000000,19605.1601562,20641.1894531,278121.0000000,478.0000000,1540.0000000,192.4300232,72.6261826,2.9919565,950192.9375000,3789.6909180,771.8825684,20.5976620,1.2027792,489.2176819,841.1179199,968252224.0000000,2981.2805176,284.1055908,1559.0000000,53516.1562500,49295.6289062,336760.0000000,922.0000000,2958.0000000,318.2355042,148.4882812,2.8201053,2686600.2500000,6323.8305664,1300.2008057,17.7773705,1.1845340,544.9121094,906.1062012,1202280320.0000000,3005.0866699,272.2622986,2159.0000000,80497.1250000,79920.8984375,393418.0000000,1213.0000000,3875.0000000,456.0468140,227.4928284,2.6779900,3890519.7500000,7192.5898438,1411.6621094,83.6067429,1.0581642,797.4098511,1084.9566650,1931336320.0000000,3148.8527832,287.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,923.3944702,399.6801147,2.6169245,5539375.0000000,8738.8583984,2033.0875244,164.2178650,1.0970812,787,,,none,,,,,1.0000000,0.5000000,,38.155987906747022
3,812,29.9011993,34.8468018,128.0000000,1.0000000,1.5000000,4.0000000,18.9608536,1.0000000,142.3816528,1.0760278,281.7099609,60.5034370,60.5034370,147.0429840,94.2242126,3786837.2500000,267.3417358,94.9758759,51.0000000,460.5222168,1209.4381104,11302.0000000,33.0000000,105.0000000,36.6316071,20.0806198,2.2377508,4445.9843750,266.3480225,75.1786957,62.1696281,1.2697585,303.2171936,332.3881226,73303000.0000000,837.6743774,83.4789429,258.0000000,2948.1083984,6659.3227539,86616.0000000,148.0000000,477.0000000,77.1773224,33.8954659,2.6235402,52180.7773438,962.4562988,268.9257507,58.9645042,1.4126730,430.3402100,701.0195312,162556624.0000000,674.2575684,127.1543732,835.0000000,20782.0097656,20893.2890625,265680.0000000,484.0000000,1558.0000000,157.4661713,55.9786873,3.2579880,1028984.0000000,3891.2907715,759.3229980,22.7577591,1.1710323,496.7264709,818.4129028,176263568.0000000,535.1241455,131.5476837,1612.0000000,55101.4609375,50829.7968750,348230.0000000,950.0000000,3046.0000000,306.5900879,152.2549286,2.9537914,2770351.5000000,6344.9575195,1285.9613037,19.0213280,1.1564122,551.4282227,879.0354614,183197328.0000000,463.9931030,124.3094177,2178.0000000,80890.6953125,80782.6562500,402604.0000000,1220.0000000,3898.0000000,446.8639526,232.0875549,2.7984295,3890519.7500000,7192.5898438,1432.0666504,115.1956253,1.0581642,790.6899414,1050.4166260,210217296.0000000,342.7385254,128.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,876.9594116,391.8880920,2.6762054,5539375.0000000,8738.8583984,2060.7893066,163.7958221,1.0970812,812,,,none,,,,,1.0000000,0.5000000,,18.038581402956819
4,813,29.9011993,34.8468018,287.0000000,1.0000000,1.5000000,4.0000000,19.0704594,0.9999999,150.6379395,1.0822479,281.7099609,63.6406517,63.6406517,146.6664276,91.1108017,2885976.2500000,229.7178497,183.1535034,44.0000000,402.7649536,865.2685547,10247.0000000,29.0000000,93.0000000,36.3132744,20.3558846,2.0570025,4428.7841797,266.3000488,76.0384140,60.9507599,1.2742308,301.3453064,297.5396118,21567380.0000000,227.4881897,169.4341278,237.0000000,2562.7194824,5252.5913086,75339.0000000,139.0000000,450.0000000,73.8431320,34.6145363,2.4672360,44535.3164062,878.5385132,258.4555969,343.5429993,1.3791363,442.4147949,678.6397095,75360792.0000000,283.4653931,280.3479919,827.0000000,20630.6230469,20602.8378906,263228.0000000,481.0000000,1549.0000000,157.3493042,56.4632568,3.2403238,1028984.0000000,3891.2907715,761.0045776,22.7196999,1.1710323,507.5826721,798.1880493,99667544.0000000,290.5821533,294.4803467,1608.0000000,55023.2968750,50641.8203125,347467.0000000,946.0000000,3034.0000000,305.1260071,151.8496704,2.9385691,2770351.5000000,6344.9575195,1287.6746826,19.0037899,1.1564122,560.7355347,858.9937134,115290384.0000000,282.7253418,278.7239380,2175.0000000,80605.4687500,80710.2578125,401900.0000000,1218.0000000,3892.0000000,445.3972473,231.8941956,2.7840748,3882033.5000000,7175.5380859,1431.7606201,84.5290756,1.0554552,797.6198730,1030.9488525,175975392.0000000,286.9104614,287.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,877.0261230,392.1924744,2.6665330,5539375.0000000,8738.8583984,2059.1586914,163.7772369,1.0970812,813,,,none,,,,,1.0000000,0.5000000,,18.148790785921356
5,819,29.9011993,29.9011993,287.0000000,0.0000000,1.5000000,4.0000000,24.3994408,0.9999999,15.2647858,1.0054379,50.0229073,14.8740845,14.8740845,120.4980011,254.5737000,24838606.0000000,1720.5045166,320.5165710,53.0000000,574.6445923,1409.5130615,16191.0000000,29.0000000,95.0000000,48.8079529,27.4514656,2.0237176,7744.0874023,339.1930542,94.3248749,352.9205627,1.1822622,291.4354553,537.3654785,250373824.0000000,2348.7080078,203.0051880,322.0000000,5190.9760742,8297.6865234,104350.0000000,196.0000000,636.0000000,116.1834106,45.8263588,2.8403249,159233.7500000,1610.4111328,477.9440308,0.4841501,1.2960702,415.4708252,930.9044800,752118720.0000000,2803.8208008,317.7949524,1041.0000000,29485.6523438,28324.0996094,292593.0000000,593.0000000,1917.0000000,197.8015442,71.1236115,3.5475867,1626890.2500000,4906.2749023,1025.9095459,23.4668903,1.1774315,475.7349548,1035.3203125,1000192768.0000000,2916.3742676,316.0961609,1851.0000000,64462.8945312,60011.0976562,366761.0000000,1074.0000000,3439.0000000,367.1955872,181.2903442,3.1867070,3300609.2500000,6799.2744141,1385.3585205,119.3616104,1.1146054,540.4708862,1103.2266846,1289764992.0000000,3127.9094238,306.3619690,2250.0000000,84787.2109375,85805.6953125,429083.0000000,1251.0000000,3999.0000000,526.1760864,266.7460327,2.9999611,4123939.2500000,7443.9052734,1524.5351562,117.8506165,1.0692507,744.6546021,1256.1165771,2234469888.0000000,3643.0822754,287.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,899.9316406,393.7864075,2.8728573,5539375.0000000,8738.8583984,2050.7602539,163.7161560,1.0970812,819,,,none,,,,,1.0000000,0.5000000,,24.399441594585312
6,823,29.9011993,29.9011993,287.0000000,0.0000000,1.5000000,4.0000000,12.9151745,0.9999999,10.5444603,1.0020715,228.5134277,8.7973633,8.7973633,122.7800751,545.7964478,102266904.0000000,5086.0019531,396.2350159,93.0000000,1000.3215942,2286.2954102,28116.0000000,62.0000000,197.0000000,49.3012161,34.3729515,1.4801873,16083.1318359,548.3925781,182.0794983,16.1440849,1.4879990,293.0882568,1107.2137451,1305949312.0000000,9934.9980469,424.9823608,618.0000000,14740.6318359,15466.2500000,203175.0000000,384.0000000,1243.0000000,134.3935394,49.6645012,3.3166697,656797.7500000,3230.8562012,761.7077637,23.6160221,1.2647182,359.3416443,1351.1685791,3995831552.0000000,14816.3046875,361.9086914,1401.0000000,46756.7578125,42660.2695312,317908.0000000,832.0000000,2671.0000000,239.6526794,107.1641998,3.2407260,2478561.0000000,5995.9892578,1238.8525391,154.7471619,1.1542828,416.0970459,1457.3315430,5454007296.0000000,15773.2138672,353.2209167,2114.0000000,78471.4609375,75621.3828125,388656.0000000,1192.0000000,3810.0000000,400.3016663,210.4001923,2.9529085,3748541.0000000,7067.5986328,1401.5491943,119.5790634,1.0604047,497.6244202,1544.8026123,6645651968.0000000,16082.3183594,352.7304688,2334.0000000,91237.4453125,92702.2968750,467191.0000000,1286.0000000,4119.0000000,571.7028809,297.7001648,2.7848835,4591215.5000000,7800.4394531,1612.8309326,90.7498856,1.0546311,655.3524780,1672.1661377,10220465152.0000000,16663.4589844,287.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,859.5584717,391.5043640,2.7358878,5539375.0000000,8738.8583984,2066.0622559,163.5078125,1.0970812,823,,,none,,,,,1.0000000,0.5000000,,12.915175321439227
7,841,23.8691006,29.9011993,287.0000000,0.0000000,1.5000000,5.0000000,56.6127090,0.9999999,89.5629425,1.1824529,188.3934937,55.9468918,54.8158722,147.4342804,295.6025391,29602222.0000000,1069.6276855,431.3478394,130.0000000,2735.1872559,3143.9692383,37776.0000000,92.0000000,294.0000000,91.0642471,59.0419655,1.4980205,150839.8906250,1559.9713135,411.1994629,4.3806419,1.2838289,290.6843567,948.1795044,772683584.0000000,6494.2377930,626.3132935,924.0000000,27835.7421875,24545.4804688,239127.0000000,551.0000000,1785.0000000,168.8021851,80.8915482,2.1370811,1609142.3750000,4905.2182617,975.7489624,26.5318470,1.1899052,359.5750122,1206.6121826,2732088576.0000000,10364.4013672,473.7352295,1820.0000000,63315.6367188,58536.2812500,364500.0000000,1061.0000000,3397.0000000,315.8703613,181.1809692,2.0881755,3256166.2500000,6753.7451172,1443.2456055,121.1864853,1.1147382,410.8575439,1290.9809570,5082096640.0000000,14670.5615234,458.4102173,2241.0000000,84383.2734375,85556.5546875,424865.0000000,1249.0000000,3993.0000000,460.6472168,262.9639893,2.0428984,4104047.5000000,7414.0537109,1581.1733398,119.5702744,1.0658331,493.6044922,1384.2092285,7362952192.0000000,17717.5214844,422.9561157,2426.0000000,94447.2656250,94696.0468750,509322.0000000,1335.0000000,4294.0000000,628.8739014,332.1402893,2.0620701,4599013.0000000,7803.9155273,1630.9489746,94.5442886,1.0537816,599.2469482,1478.3911133,13442739200.0000000,21917.0566406,287.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,822.2023315,398.9006042,2.1250105,5539375.0000000,8738.8583984,2123.7648926,163.5243073,1.0970812,841,,,none,,,,,1.0000000,0.5000000,,54.853495539976635
8,2649,29.9011993,29.9011993,287.0000000,0.0000000,1.5000000,5.0000000,3.2958000,1.0000000,0.0000000,1.0000000,270.0000000,1.2359250,1.2359250,137.3037872,817.8435059,11276434.0000000,799.6442871,232.2124481,53.0000000,452.9375305,970.1104736,13307.0000000,37.0000000,120.0000000,34.3351288,24.6910973,1.4392400,4714.6918945,272.3520203,67.3206482,55.4877930,1.2519819,287.5762634,1018.0559082,110536544.0000000,1197.8165283,170.6784973,257.0000000,3431.2067871,5663.2290039,75485.0000000,147.0000000,478.0000000,77.8308563,41.9264908,2.0241618,98104.8984375,1253.9353027,329.2842407,340.0818481,1.2754097,437.6616516,1413.1762695,285742464.0000000,1130.6894531,290.5320740,935.0000000,24544.4804688,23285.4628906,269254.0000000,543.0000000,1757.0000000,167.4214630,61.6143265,3.2342229,1234392.8750000,4308.3154297,880.5800171,309.0287476,1.1966075,506.2324219,1543.4132080,370635744.0000000,1083.5157471,307.9988098,1737.0000000,60600.2890625,55202.6640625,360765.0000000,1018.0000000,3263.0000000,333.9754639,169.5463867,2.9547060,3256166.2500000,6753.7451172,1380.4273682,119.8504410,1.1147382,557.3251343,1600.1885986,430572640.0000000,1054.8442383,288.7414856,2210.0000000,83029.3671875,83898.7968750,412442.0000000,1240.0000000,3965.0000000,466.7573547,243.2191315,2.8152144,4031330.2500000,7335.4169922,1434.4797363,94.6150513,1.0621635,777.3590698,1765.9407959,663675776.0000000,1082.0577393,287.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,872.8524780,392.6309204,2.6943340,5539375.0000000,8738.8583984,2055.4628906,164.0479736,1.0970812,2649,,,none,,,,,1.0000000,0.5000000,,3.295800000429153
9,2886,29.9011993,29.9011993,287.0000000,0.0000000,1.5000000,5.0000000,7.6021690,1.0000000,8.9345169,1.0023851,159.1406708,6.2012572,6.2012572,115.4254456,396.9439392,27274680.0000000,1749.5809326,326.4065247,57.0000000,539.8823853,1425.2392578,16439.0000000,36.0000000,118.0000000,40.2155228,30.5289345,1.3150406,8680.6494141,360.5543518,101.9018784,355.8099670,1.1917342,305.7162476,781.8452759,207168368.0000000,1736.9372559,269.5130920,389.0000000,7193.2578125,9655.2050781,139677.0000000,242.0000000,785.0000000,116.4500046,48.2610397,2.6675258,282033.8125000,2084.3264160,630.1480103,331.2859192,1.2258023,400.8770447,1110.7761230,532996608.0000000,1977.9359131,325.6275330,1129.0000000,34818.3398438,31342.9941406,297344.0000000,636.0000000,2052.0000000,184.5047455,73.3763199,3.1695933,1990773.6250000,5343.6694336,1026.9328613,23.9832191,1.1414251,462.0628967,1222.7753906,701867904.0000000,2012.7391357,327.5346680,1969.0000000,69084.7031250,64720.5429688,374987.0000000,1131.0000000,3617.0000000,364.6473083,188.0405273,2.8672974,3520442.0000000,6859.1689453,1382.0318604,119.9787979,1.0634962,532.1236572,1296.8957520,830931328.0000000,2002.9980469,322.5205994,2281.0000000,86392.4921875,87530.3984375,442875.0000000,1267.0000000,4051.0000000,526.4486694,274.3236389,2.7179444,4217322.0000000,7527.9467773,1591.0550537,90.7144241,1.0693170,717.8033447,1440.5718994,1276348672.0000000,2080.9604492,287.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,868.0982056,392.0000000,2.6627927,5539375.0000000,8738.8583984,2058.7690430,164.0786743,1.0970812,2886,,,none,,,,,1.0000000,0.5000000,,7.602169175467338
10,2887,29.9011993,29.9011993,287.0000000,0.0000000,1.5000000,4.0000000,8.8153687,1.0000000,0.6485848,1.0000150,161.2881927,3.5489824,3.5489824,119.6441956,505.0832520,30130044.0000000,1813.4926758,326.6996460,59.0000000,545.7968140,1515.2392578,17398.0000000,37.0000000,121.0000000,40.4752541,31.6696358,1.2945932,8680.6494141,360.5543518,94.3476715,357.1068420,1.1917342,304.7214966,890.0641479,270661952.0000000,2150.7888184,271.0893555,391.0000000,7208.6362305,9655.2050781,140779.0000000,244.0000000,791.0000000,112.2106857,44.9689865,2.8502331,285609.8437500,2091.8378906,622.0809326,331.1513672,1.2191947,398.7600403,1218.2790527,760824384.0000000,2820.0410156,326.2375183,1141.0000000,35936.6484375,32053.8925781,297479.0000000,644.0000000,2077.0000000,187.1084747,70.7366333,3.2620394,2058213.5000000,5392.4350586,1020.8941040,24.2943420,1.1242672,459.8286438,1330.7695312,1024807488.0000000,2949.2216797,327.8516846,1974.0000000,69283.8437500,65445.1914062,375158.0000000,1136.0000000,3633.0000000,365.4930115,185.4979858,2.9392476,3520442.0000000,6859.1689453,1388.1845703,120.2035675,1.0634962,532.3057251,1407.4792480,1228434176.0000000,2968.5700684,325.3876038,2285.0000000,86446.0859375,87629.4609375,445422.0000000,1268.0000000,4054.0000000,530.6567383,274.0304260,2.7743080,4217322.0000000,7527.9467773,1593.7713623,90.9931870,1.0693170,715.1466675,1548.9801025,1879159552.0000000,3063.7836914,287.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,865.1126099,390.6452332,2.7002389,5539375.0000000,8738.8583984,2066.9687500,164.0685272,1.0970812,2887,,,none,,,,,1.0000000,0.5000000,,8.815367884390259
