OID_,ID,Z_start,Z_end,Weight,Esc,Total,LConn,LLen,LFrac,LAC,LSin,LBear,HMf,HMb,MHDWp200,NQPDHWp200,BtHWp200,TPBtHWp200,TPDWp200,Lnk200,Len200,AngD200,WtWp200,Jnc200,Con200,MGLHWp200,MCFWp200,DivHWp200,HullA200,HullP200,HullR200,HullB200,HullSI200,MHDWp400,NQPDHWp400,BtHWp400,TPBtHWp400,TPDWp400,Lnk400,Len400,AngD400,WtWp400,Jnc400,Con400,MGLHWp400,MCFWp400,DivHWp400,HullA400,HullP400,HullR400,HullB400,HullSI400,MHDWp600,NQPDHWp600,BtHWp600,TPBtHWp600,TPDWp600,Lnk600,Len600,AngD600,WtWp600,Jnc600,Con600,MGLHWp600,MCFWp600,DivHWp600,HullA600,HullP600,HullR600,HullB600,HullSI600,MHDWp800,NQPDHWp800,BtHWp800,TPBtHWp800,TPDWp800,Lnk800,Len800,AngD800,WtWp800,Jnc800,Con800,MGLHWp800,MCFWp800,DivHWp800,HullA800,HullP800,HullR800,HullB800,HullSI800,MHDWp1000,NQPDHWp1000,BtHWp1000,TPBtHWp1000,TPDWp1000,Lnk1000,Len1000,AngD1000,WtWp1000,Jnc1000,Con1000,MGLHWp1000,MCFWp1000,DivHWp1000,HullA1000,HullP1000,HullR1000,HullB1000,HullSI1000,MHDWpn,NQPDHWpn,BtHWpn,TPBtHWpn,TPDWpn,Lnkn,Lenn,AngDn,WtWpn,Jncn,Conn,MGLHWpn,MCFWpn,DivHWpn,HullAn,HullPn,HullRn,HullBn,HullSIn,PC,x,y,z,OBJECTID,Shape_Length_1,ID_1,Gate,Z_start_1,Z_end_1,Weight_1,Esc_1,Shade,Width,Total_1,Shape_Length
1,791,-6.1308999,-6.1308999,123.0000000,0.0000000,1.5000000,5.0000000,35.5542908,1.0000000,101.6423340,1.2016790,316.4710693,51.4487343,51.4487343,113.2840424,64.1886826,2092845.0000000,481.4315186,142.3405914,41.0000000,562.0270996,1161.7329102,5043.0000000,23.0000000,71.0000000,62.2809830,46.0688248,1.3473834,6604.9780273,331.5246582,86.3356934,262.5754700,1.3241904,324.3881226,355.1683655,39942468.0000000,783.8327026,83.3157883,229.0000000,2503.0993652,4555.4218750,99812.0000000,154.0000000,486.0000000,116.8778229,50.5197754,2.4676321,13160.6992188,541.5617065,178.9443665,8.1163092,1.7734016,414.9170227,652.3256836,218573952.0000000,1073.4345703,109.3068771,696.0000000,14561.7744141,17143.1542969,240122.0000000,412.0000000,1323.0000000,172.5126801,61.5561562,3.0815921,576968.5625000,3089.3808594,732.5124512,19.9307613,1.3163788,469.4264526,753.6339722,369771840.0000000,1218.4216309,110.2227631,1306.0000000,43715.9492188,41196.9882812,307064.0000000,763.0000000,2449.0000000,240.7203979,96.1185913,3.0292382,2246362.5000000,5668.2524414,1070.4266357,19.8059921,1.1381741,549.3759155,839.7667236,462067520.0000000,1228.1517334,113.5846329,2085.0000000,76100.7500000,74770.4218750,382257.0000000,1177.0000000,3763.0000000,417.9407959,204.8840485,2.7786217,3544247.0000000,6879.8442383,1370.7058105,119.8835831,1.0627310,828.0388794,1022.0161133,828939328.0000000,1351.5035400,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,908.1540527,397.7108765,2.6416740,5539375.0000000,8738.8583984,2049.0722656,164.2473297,1.0970812,0,,,,791,,,none,,,,,1.0000000,0.5000000,,35.554290299322346
2,798,-6.1308999,-6.1308999,123.0000000,0.0000000,1.5000000,4.0000000,32.4542122,1.0000000,86.6153870,1.3725632,335.0785522,44.6511002,44.6511002,120.5298004,47.5913773,1215363.0000000,369.9336548,103.9357071,25.0000000,426.3909302,691.5939331,3075.0000000,16.0000000,49.0000000,83.2267456,66.6175690,1.3037932,6637.0307617,329.1693420,117.2346420,230.3762665,1.2991374,312.2330933,118.8817062,13128282.0000000,561.4741211,37.2341270,91.0000000,899.9248047,2184.0227051,26622.0000000,63.0000000,195.0000000,129.4429169,63.5602493,2.0943928,7399.1391602,340.0614319,117.2346420,230.3762665,1.2437232,473.7713318,457.1127930,120909616.0000000,767.5264893,87.4076004,452.0000000,6223.4829102,10906.7490234,193821.0000000,260.0000000,831.0000000,186.0085602,66.8199692,3.0295813,124557.2812500,1384.0050049,278.5001221,333.3116760,1.2237602,548.1663208,601.4067993,268933536.0000000,950.4190063,105.6253815,1046.0000000,28304.8964844,27546.5175781,293275.0000000,593.0000000,1914.0000000,249.3364716,74.9904251,3.8171451,1620363.3750000,5034.5156250,954.3822632,23.7856140,1.2447815,621.8712769,678.2620850,355460480.0000000,979.5290527,106.5268173,1836.0000000,63683.1875000,60092.0351562,364284.0000000,1069.0000000,3420.0000000,416.9936829,173.6393127,3.4452481,3256166.2500000,6753.7451172,1399.3968506,122.2372437,1.1147382,920.7495117,865.0549316,678358784.0000000,1105.9969482,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,950.1630249,397.8068237,3.0144768,5539375.0000000,8738.8583984,2109.0363770,164.8409271,1.0970812,0,,,,798,,,none,,,,,1.0000000,0.5000000,,32.454212811305950
3,830,-1.1309000,-6.1308999,123.0000000,1.0000000,1.5000000,4.0000000,8.4385185,0.9999999,90.0000000,1.3906063,231.1184692,36.9144440,36.9144440,143.0640564,696.2227173,26962830.0000000,1018.7282715,143.9928589,133.0000000,1421.6291504,1792.2810059,50374.0000000,102.0000000,325.0000000,44.6791191,29.7158546,1.5296234,11362.8535156,509.7175598,151.0081635,22.7762470,1.8195412,257.2955933,1358.2845459,414563616.0000000,2923.5195312,210.5233765,691.0000000,14617.4833984,16834.1367188,234621.0000000,412.0000000,1324.0000000,106.9174957,52.7126808,1.9793776,576968.5625000,3089.3808594,709.5557861,23.4948158,1.3163788,306.4614563,1516.6810303,1125179392.0000000,4375.5458984,148.1072235,1314.0000000,43923.3789062,41276.8593750,307399.0000000,768.0000000,2465.0000000,175.5314636,89.8804321,2.0478268,2246362.5000000,5668.2524414,1110.8986816,124.2874832,1.1381741,383.6136169,1633.9624023,1797944320.0000000,5341.3022461,150.2995605,2087.0000000,76372.1015625,74911.6093750,386858.0000000,1178.0000000,3766.0000000,369.1474304,208.5872192,1.9682434,3568395.5000000,6892.4838867,1418.4443359,120.5433884,1.0594213,467.5266418,1713.5819092,2542232576.0000000,6240.9902344,147.0515289,2317.0000000,90221.7031250,91561.9609375,459452.0000000,1277.0000000,4086.0000000,531.2557983,289.6887512,1.9631337,4420047.0000000,7626.8164062,1616.2095947,91.7819977,1.0472487,645.7702637,1845.6174316,5152079360.0000000,8399.9560547,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,841.1455078,394.1611938,2.0974782,5539375.0000000,8738.8583984,2094.6667480,163.6554260,1.0970812,0,,,,830,,,none,,,,,1.0000000,0.5000000,,3.438519079170793
4,854,-1.1309000,-6.1308999,123.0000000,1.0000000,1.5000000,4.0000000,8.2062464,1.0000000,89.9042892,1.3805394,183.7920227,36.7914505,36.7914505,149.9816895,444.7688293,20552684.0000000,795.7864380,160.9606323,101.0000000,1100.8798828,1628.9260254,47757.0000000,70.0000000,218.0000000,46.2445068,29.3216972,1.5850807,4680.6279297,278.1542358,78.6927109,149.2319031,1.3153986,241.2486420,913.2904663,250303280.0000000,1976.0852051,128.0909882,325.0000000,3722.9626465,7169.1958008,172710.0000000,178.0000000,562.0000000,72.4666977,39.9257965,1.8580077,13794.8740234,494.7904053,138.1116943,26.5486202,1.4122609,315.7081604,1058.6788330,444341184.0000000,1895.6508789,110.8911133,584.0000000,8898.6406250,14820.3701172,243954.0000000,321.0000000,1026.0000000,104.9808502,53.2273788,2.0009806,195799.8281250,1804.2233887,447.6213989,4.3777800,1.3229958,380.7209778,1138.1951904,515908064.0000000,1676.0109863,107.0078278,1113.0000000,33451.4375000,31704.5996094,297448.0000000,623.0000000,2009.0000000,167.1547546,78.2287064,2.1387470,1888045.2500000,5252.0654297,1010.1086426,25.7290401,1.1626205,484.5893555,1217.4154053,547614784.0000000,1439.9582520,108.1840134,1916.0000000,66116.3828125,63890.3750000,369606.0000000,1113.0000000,3561.0000000,347.1788940,189.0516510,2.0492120,3320289.0000000,6801.7036133,1426.4154053,119.8430557,1.1087909,824.1751709,1402.6430664,637583296.0000000,1039.5164795,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,883.9206543,396.7434998,2.1876762,5539375.0000000,8738.8583984,2088.5712891,163.1588135,1.0970812,0,,,,854,,,none,,,,,1.0000000,0.5000000,,3.236246855826848
5,858,-1.1309000,-6.1308999,123.0000000,1.0000000,1.5000000,4.0000000,8.3759041,1.0000000,91.7839432,1.4085861,122.9168472,37.5599442,37.5599442,149.9032440,672.7518921,18152094.0000000,458.0205078,166.5383301,112.0000000,1075.4766846,1936.9868164,72600.0000000,84.0000000,263.0000000,51.9072571,32.2274017,1.6136662,2816.5141602,205.1134644,49.3674850,164.7795258,1.1886843,225.1281738,1102.2509766,314984416.0000000,2250.1376953,139.4439697,357.0000000,4055.4174805,7794.0708008,185359.0000000,197.0000000,622.0000000,74.5655823,42.4195595,1.7825044,14526.6806641,499.5952759,140.6204376,27.4024124,1.3672892,302.7389832,1250.4184570,780256896.0000000,3252.7136230,117.0252228,626.0000000,10191.4716797,15835.5917969,258420.0000000,348.0000000,1117.0000000,117.0633926,58.7138710,1.9399849,309961.4375000,2233.2846680,593.4577637,334.1210022,1.2804737,353.1565247,1309.6629639,945049408.0000000,3096.0676270,107.2211761,1146.0000000,35702.7226562,33139.1562500,298437.0000000,649.0000000,2091.0000000,174.0863800,81.5079575,2.0731845,1970075.1250000,5402.1440430,1119.5379639,123.2299728,1.1787988,461.4670105,1392.5577393,969949632.0000000,2587.3789062,109.0607452,1974.0000000,69652.7187500,67728.5703125,372630.0000000,1134.0000000,3627.0000000,365.3498230,194.7158966,2.0068066,3490883.0000000,6849.2265625,1428.3652344,119.7384415,1.0693944,800.8029175,1577.2392578,999942272.0000000,1630.3070068,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,907.2346802,397.5768738,2.1878426,5539375.0000000,8738.8583984,2088.2016602,163.0700989,1.0970812,0,,,,858,,,none,,,,,1.0000000,0.5000000,,3.568392956564403
6,2629,-1.1309000,-6.1308999,123.0000000,1.0000000,1.5000000,2.0000000,5.0009394,1.0000000,0.0000000,1.0000000,284.0935974,1.8753523,1.8753523,149.4195404,1107.4465332,10664346.0000000,183.8081818,244.8488007,176.0000000,1845.4688721,3988.3408203,86784.0000000,120.0000000,387.0000000,53.6112823,33.8962936,1.5995494,9653.5439453,395.0252380,82.9937515,20.2960052,1.2863319,240.5446625,1660.5385742,29676948.0000000,167.1511993,211.3859711,621.0000000,11541.3769531,14804.7304688,241358.0000000,350.0000000,1125.0000000,99.0262375,51.0389404,1.9214081,450344.4687500,2814.5400391,587.7868042,331.9653320,1.3997812,284.8255005,1790.0678711,37019616.0000000,132.6763153,142.4196777,1211.0000000,39552.6054688,36190.3046875,300867.0000000,692.0000000,2224.0000000,157.1092224,79.4164352,2.0330586,2166942.2500000,5575.1250000,1113.6121826,124.3666687,1.1414372,366.1866455,1900.5587158,46321368.0000000,132.3614197,141.7763977,2033.0000000,73380.3203125,70771.0703125,376678.0000000,1155.0000000,3694.0000000,337.9127502,192.1793976,1.9574097,3533792.7500000,6875.1884766,1421.0529785,120.6124649,1.0644329,452.4147644,1977.8157959,54975404.0000000,131.6003723,140.2458649,2295.0000000,89143.2421875,90482.6875000,447038.0000000,1270.0000000,4063.0000000,504.4469910,278.6987000,1.9456613,4420047.0000000,7626.8164062,1617.6735840,91.8797302,1.0472487,653.4949951,2118.6694336,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,839.0473633,394.1860352,2.0858109,5539375.0000000,8738.8583984,2097.7416992,163.6408081,1.0970812,0,,,,2629,,,none,,,,,1.0000000,0.5000000,,0.096917283670981
7,2848,-6.1308999,-6.1308999,123.0000000,0.0000000,1.5000000,2.0000000,10.4202995,1.0000000,88.8105392,1.2150761,259.0534058,37.2115631,37.2115631,82.1947708,12.2226381,35301.0000000,72.0916672,75.8499985,3.0000000,38.8341141,340.1078796,369.0000000,2.0000000,6.0000000,9.3668795,5.5985684,2.0915020,95.8483200,51.9834366,20.1719704,61.6774139,2.2435491,300.3150024,18.9731960,307623.0000000,65.2895355,15.3885965,21.0000000,382.4453735,551.2202148,2583.0000000,14.0000000,43.0000000,104.1080627,54.7611961,2.0218308,6493.7836914,326.5621948,103.5584183,169.8312378,1.3068452,518.1759644,52.2133560,2535645.0000000,66.3761292,10.7268877,80.0000000,783.9095459,1943.6237793,20697.0000000,53.0000000,163.0000000,164.2719879,44.8709030,4.0683246,6764.0166016,335.0585022,103.5584183,169.8312378,1.3207687,695.3716431,269.3075867,21649844.0000000,94.3121643,65.7388840,396.0000000,5362.5468750,9762.8134766,176097.0000000,229.0000000,728.0000000,217.2107239,54.8333931,4.3145461,88012.3359375,1192.5375977,272.5908508,72.1170883,1.2858512,774.2504883,390.5560608,35045036.0000000,104.1002731,85.2713242,957.0000000,24854.0410156,24734.1777344,285001.0000000,547.0000000,1759.0000000,283.5441895,70.4817581,4.5877819,1332203.3750000,4498.0820312,830.5002441,306.7604980,1.2085770,1153.8515625,618.6520386,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,991.2240601,397.2708130,3.4041860,5539375.0000000,8738.8583984,2115.2658691,163.9960938,1.0970812,0,,,,2848,,,none,,,,,1.0000000,0.5000000,,10.420298847913699
8,2849,-6.1308999,-6.1308999,123.0000000,0.0000000,1.5000000,2.0000000,8.7407780,1.0000000,0.0000000,1.0000000,274.3843384,3.2777917,3.2777917,92.6307144,117.3496017,65559.0000000,87.9449997,85.6900024,5.0000000,84.5739746,449.5778809,615.0000000,3.0000000,9.0000000,19.5315647,13.1209126,1.8299036,528.7880249,96.7768555,34.1368790,90.4877930,1.4094560,280.9500732,129.5528412,519429.0000000,67.8942184,17.4741535,35.0000000,541.2308960,989.6958618,4305.0000000,20.0000000,61.0000000,122.5839691,56.2711525,2.7425401,6637.0307617,329.1693420,106.0194244,169.4449768,1.2991374,520.4928589,220.5688629,6532407.0000000,73.5986862,24.5766144,143.0000000,1435.9366455,2868.2685547,53191.0000000,101.0000000,315.0000000,182.6661072,49.3707924,3.9547074,7675.3906250,351.8294678,106.0194244,169.4449768,1.2833765,644.7578125,462.5891113,26796042.0000000,101.5243073,80.1411667,556.0000000,9385.6562500,14044.8164062,217936.0000000,317.0000000,1019.0000000,239.4824371,61.3663368,4.2578244,314227.6250000,2248.8969727,571.0210571,330.3135986,1.2808105,707.7772827,554.9503784,36759164.0000000,106.0034714,89.0744553,1150.0000000,36501.7734375,33747.4062500,298790.0000000,647.0000000,2084.0000000,301.3017273,82.5987549,4.4061341,1970075.1250000,5402.1440430,1121.3110352,125.5150452,1.1787988,1075.5107422,782.1572876,75431472.0000000,122.9835587,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,990.3845215,397.9079895,3.3494847,5539375.0000000,8738.8583984,2117.7885742,163.9836578,1.0970812,0,,,,2849,,,none,,,,,1.0000000,0.5000000,,8.740778127431120
9,2850,-6.1308999,-6.1308999,123.0000000,0.0000000,1.5000000,4.0000000,9.9598780,1.0000000,0.0000000,1.0000000,122.0201416,3.7349544,3.7349544,140.2692108,222.1153717,11935428.0000000,688.0056763,107.7495346,61.0000000,638.7378540,1372.8375244,15268.0000000,44.0000000,136.0000000,44.3299522,27.4044590,1.6865791,6368.0229492,313.2216797,75.7122574,161.1237335,1.2259963,301.5549011,742.7030640,248836864.0000000,1977.7900391,137.5882721,428.0000000,6024.1479492,10553.9062500,175655.0000000,257.0000000,823.0000000,93.1181564,41.5642548,2.2836590,124557.2812500,1384.0050049,294.7486877,342.7841797,1.2237602,376.3174438,984.8114624,817677760.0000000,3266.8085938,138.0660400,1050.0000000,28533.6113281,27610.0644531,292620.0000000,593.0000000,1914.0000000,156.3614655,66.5582047,2.4287622,1620363.3750000,5034.5156250,999.8051147,25.0137444,1.2447815,444.6377869,1084.3028564,1388439040.0000000,4167.1289062,134.5231171,1842.0000000,64108.2851562,60139.1953125,364290.0000000,1071.0000000,3428.0000000,323.0871582,175.5438538,2.2678809,3256166.2500000,6753.7451172,1414.7598877,120.2988892,1.1147382,508.1365967,1145.9980469,2042253184.0000000,5035.7348633,127.7800217,2242.0000000,84794.3203125,85774.3593750,420698.0000000,1249.0000000,3993.0000000,463.6921692,252.7477264,2.2078245,4131939.2500000,7446.7968750,1553.3391113,118.7326889,1.0680097,733.6063232,1305.2135010,4355432448.0000000,7101.1015625,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,854.6115723,393.9468689,2.2780848,5539375.0000000,8738.8583984,2087.8425293,163.6038818,1.0970812,0,,,,2850,,,none,,,,,1.0000000,0.5000000,,9.959878210461376
10,2851,-6.1308999,-6.1308999,123.0000000,0.0000000,1.5000000,4.0000000,22.9482861,0.9999999,84.5569000,1.2676085,184.5997162,40.3144455,40.3144455,147.6565247,90.2379684,2908212.0000000,192.6882172,78.5843430,45.0000000,497.9195862,627.1192627,10440.0000000,34.0000000,105.0000000,46.4518623,29.4285297,1.6819966,5440.7983398,293.8952026,88.1934891,158.4484406,1.2633175,318.0442505,500.0159912,46284532.0000000,308.0502625,108.1343002,357.0000000,5071.9882812,8787.4169922,143307.0000000,215.0000000,685.0000000,88.2782364,41.5166130,2.2343860,104634.3828125,1300.0568848,292.4588623,69.2468567,1.2854064,404.4058838,788.4067993,108267000.0000000,402.4635315,133.8574066,957.0000000,24881.5878906,24639.0175781,283437.0000000,546.0000000,1756.0000000,158.1159363,67.3009644,2.4323826,1332203.3750000,4498.0820312,831.5114746,308.4407654,1.2085770,468.3678589,884.3334961,147448400.0000000,430.2963867,128.7055817,1697.0000000,58816.3164062,54311.7773438,352893.0000000,997.0000000,3194.0000000,308.5123901,163.6261292,2.2923484,3221359.7500000,6748.6171875,1426.8520508,120.5001678,1.1250724,527.6589355,945.2575684,186287984.0000000,454.1272888,122.0466995,2202.0000000,82988.4218750,83071.0859375,407912.0000000,1235.0000000,3944.0000000,446.5209045,242.1301117,2.2224228,4099912.2500000,7410.4936523,1565.2900391,118.9281845,1.0658838,768.0139160,1112.5729980,323080896.0000000,526.7514648,123.0000000,2731.0000000,108522.4218750,109027.3437500,613346.0000000,1463.0000000,4716.0000000,861.9440308,396.0555725,2.2815299,5539375.0000000,8738.8583984,2100.0788574,163.4772949,1.0970812,0,,,,2851,,,none,,,,,1.0000000,0.5000000,,22.948287245545604
